	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	max_x	max_y	max_z	max_tot	median_tot
0	0.256303	0.205646	-1.434959	-0.021088	-0.004744	-0.001112	0.6026150000000001	1.651574999999994	1.3601139999999994	1.7573207257285093	0.9084730501985222
1	0.256303	0.205646	-1.434959	-0.021088	-0.004744	-0.001112	0.6026150000000001	1.651574999999994	1.3601139999999994	1.7573207257285093	0.9084730501985222
2	0.256303	0.205646	-1.434959	-0.021088	-0.004744	-0.001112	0.6026150000000001	1.651574999999994	1.3601139999999994	1.7573207257285093	0.9084730501985222
3	0.256303	0.205646	-1.434959	-0.021088	-0.004744	-0.001112	0.6026150000000001	1.651574999999994	1.3601139999999994	1.7573207257285093	0.9084730501985222
4	0.256303	0.205646	-1.434959	-0.021088	-0.004744	-0.001112	0.6026150000000001	1.651574999999994	1.3601139999999994	1.7573207257285093	0.9084730501985222
5	0.244774	0.674838	-2.193903	-0.02627	-0.005694	-0.001379	0.6578710000000001	1.6270659999999992	1.5421059999999898	1.921135917331472	0.8921904205794526
6	-0.031072	0.995864	-2.16449	-0.026798	-0.006893	-0.000436	0.566820000000007	1.444100000000006	1.6238290000000006	1.8527271259483957	0.8736280557708755
7	-0.3721	1.552909	-2.591781	-0.027453	-0.006009	0.00182	0.35334499999999025	1.42409099999999	1.9280739999999952	2.2291930211827755	0.9952600091564051
8	-0.050582	1.103383	-2.136283	-0.023129	-0.004369	0.001113	0.45614100000000235	1.1765280000000047	1.504101999999996	1.6531718650941867	0.7981370661258791
9	-0.109777	1.055963	-1.879959	-0.021531	-0.004736	0.001069	0.4278670000000062	1.0691519999999883	1.368853999999999	1.5013411851970853	0.7310575490624578
10	-0.592669	1.300487	-1.521802	-0.019482	-0.006108	0.002809	0.4462299999999999	1.1272900000000021	1.256729	1.5863746748687688	0.6736000342859177
11	-0.625179	1.267344	-1.139942	-0.014691	-0.004502	0.003976	0.41263499999999453	1.0343229999999863	0.9342320000000015	1.2642370523525237	0.5405607087177227
12	-0.610592	1.453042	-1.613418	-0.012479	-0.002483	0.00502	0.3561079999999919	1.1608059999999938	1.300850000000004	1.603361225611054	0.8804226910876407
13	-0.919377	1.768271	-1.53119	-0.010745	-0.00237	0.00655	0.575130999999999	1.3895299999999935	1.2906469999999999	1.7724765090488477	1.0737405838380873
14	-0.754099	1.370225	-0.890778	-0.005291	-0.001897	0.005889	0.46182699999999954	1.032976000000005	0.880946	1.2293192370966903	0.8424067678992391
15	-0.886763	2.17688	-2.273549	-0.008548	0.000247	0.007687	0.5480170000000015	1.740477999999996	1.8649459999999962	2.412501349488741	1.8198519786556748
16	-1.664523	2.480322	-1.315655	-0.00432	-0.00187	0.01048	1.1470209999999952	1.8882580000000075	1.34823	2.3274238888092578	1.800310767190499
17	-1.367157	2.337848	-1.459096	-0.002651	-0.000154	0.009853	0.9154309999999981	1.7912529999999833	1.3562760000000083	2.2338091079566205	1.8303513902354696
18	-1.574202	2.882637	-2.013925	-0.003595	0.003272	0.012501	1.1818939999999856	2.176072000000005	1.579065	2.700916305036126	2.1293538630152313
19	-1.948142	3.267767	-2.067461	-0.003575	0.001333	0.013341	1.4126380000000012	2.5254320000000092	1.787001999999994	3.1370225859424457	2.5571177080536294
20	-1.273617	2.334705	-1.363452	0.001296	0.001565	0.009756	0.9111669999999918	1.8885000000000076	1.4316439999999986	2.3948294832513684	2.028931332004614
21	2.322651	-1.890742	-0.346574	0.004084	-0.001941	-0.011628	1.8898349999999908	1.2476979999999998	1.1710780000000014	2.1127973417230494	1.7260545157016214
22	4.873432	-4.706686	0.316921	0.008517	-0.002416	-0.026158	3.785862999999992	3.270780000000002	1.2552679999999992	4.376928473100966	3.2383775879503185
23	5.508036	-4.87053	-0.546558	0.005655	-0.001046	-0.02861	4.233931999999996	3.3366300000000138	1.5411770000000011	4.868144968009072	3.657936957133353
24	4.821531	-4.478231	0.705381	0.009398	-0.002423	-0.025593	3.759781000000004	3.0810379999999924	1.0067769999999996	4.239034210198942	3.067469163940932
25	3.770037	-3.80178	2.278653	0.01862	-0.000563	-0.018105	2.9716279999999955	2.839181999999994	1.368513	3.884512676485692	2.552192799647187
26	-0.605926	0.586051	3.134874	0.032866	0.007847	0.009485	0.8100599999999929	2.826425999999998	3.151776	3.3530433675031706	1.5664914455532015
27	-1.720651	2.017348	2.596257	0.029887	0.006675	0.014851	1.4663440000000207	3.536602000000002	2.2408330000000003	3.876171941749998	2.1097765694006565
28	-0.092176	1.838665	-0.458621	0.011549	0.005486	0.005918	0.7747670000000113	2.4148930000000064	1.7450530000000022	2.702605482661874	2.0849635412132606
29	-0.167659	2.373917	-1.936582	0.007041	0.006896	0.005676	0.6631929999999926	2.5765750000000196	2.419564000000001	3.4089586885233834	2.8977610202878066
30	0.435306	1.447075	-0.889823	0.009274	0.004546	0.001801	0.7007859999999937	2.165626000000003	1.9116529999999994	2.656347564153094	2.196822355913892
31	0.376683	0.901865	0.698601	0.013619	0.000494	0.000826	0.49944100000000446	2.1108720000000005	1.3682890000000008	2.2280660681238778	1.5920944090050153
32	-0.402391	1.717218	0.01637	0.010657	-7.8e-05	0.004239	0.2550740000000076	2.3485199999999935	1.6395119999999999	2.581079551119836	2.0380179045505633
