frame_start	frame_end	highbinding	left_cerebral_white_matter	left_cerebellum_white_matter	left_cerebellum_cortex	left_thalamus	left_caudate	left_putamen	left_pallidum	brain_stem	left_hippocampus	left_amygdala	csf	left_accumbens_area	left_ventraldc	left_choroid_plexus	right_cerebral_white_matter	right_cerebellum_white_matter	right_cerebellum_cortex	right_thalamus	right_caudate	right_putamen	right_pallidum	right_hippocampus	right_amygdala	right_accumbens_area	right_ventraldc	right_choroid_plexus	aircavity	skull	vermis	pons	csf_extracerebral	head_extracerebral	ctx_lh_bankssts	ctx_lh_caudalanteriorcingulate	ctx_lh_caudalmiddlefrontal	ctx_lh_cuneus	ctx_lh_entorhinal	ctx_lh_fusiform	ctx_lh_inferiorparietal	ctx_lh_inferiortemporal	ctx_lh_isthmuscingulate	ctx_lh_lateraloccipital	ctx_lh_lateralorbitofrontal	ctx_lh_lingual	ctx_lh_medialorbitofrontal	ctx_lh_middletemporal	ctx_lh_parahippocampal	ctx_lh_paracentral	ctx_lh_parsopercularis	ctx_lh_parsorbitalis	ctx_lh_parstriangularis	ctx_lh_pericalcarine	ctx_lh_postcentral	ctx_lh_posteriorcingulate	ctx_lh_precentral	ctx_lh_precuneus	ctx_lh_rostralanteriorcingulate	ctx_lh_rostralmiddlefrontal	ctx_lh_superiorfrontal	ctx_lh_superiorparietal	ctx_lh_superiortemporal	ctx_lh_supramarginal	ctx_lh_frontalpole	ctx_lh_temporalpole	ctx_lh_transversetemporal	ctx_lh_insula	ctx_rh_bankssts	ctx_rh_caudalanteriorcingulate	ctx_rh_caudalmiddlefrontal	ctx_rh_cuneus	ctx_rh_entorhinal	ctx_rh_fusiform	ctx_rh_inferiorparietal	ctx_rh_inferiortemporal	ctx_rh_isthmuscingulate	ctx_rh_lateraloccipital	ctx_rh_lateralorbitofrontal	ctx_rh_lingual	ctx_rh_medialorbitofrontal	ctx_rh_middletemporal	ctx_rh_parahippocampal	ctx_rh_paracentral	ctx_rh_parsopercularis	ctx_rh_parsorbitalis	ctx_rh_parstriangularis	ctx_rh_pericalcarine	ctx_rh_postcentral	ctx_rh_posteriorcingulate	ctx_rh_precentral	ctx_rh_precuneus	ctx_rh_rostralanteriorcingulate	ctx_rh_rostralmiddlefrontal	ctx_rh_superiorfrontal	ctx_rh_superiorparietal	ctx_rh_superiortemporal	ctx_rh_supramarginal	ctx_rh_frontalpole	ctx_rh_temporalpole	ctx_rh_transversetemporal	ctx_rh_insula	reference
0	30	4835.47021484375	2984.011474609375	2846.03466796875	3920.872802734375	3959.488525390625	3744.073486328125	4703.24755859375	3187.992431640625	3459.07373046875	4575.84375	4000.546630859375	2359.698974609375	3850.76123046875	4319.7412109375	3219.290771484375	3052.064453125	2914.43212890625	3797.643798828125	3918.017333984375	3334.672607421875	4787.53076171875	3036.8896484375	4086.65869140625	3679.65087890625	6308.13427734375	4143.08447265625	4429.57080078125	1511.413452148438	1522.117309570312	3598.199951171875	3542.45947265625	4788.4892578125	1019.868286132812	4256.01123046875	4862.70263671875	3842.696044921875	5801.04248046875	3478.766357421875	4061.722900390625	4036.92431640625	3470.094970703125	4898.72607421875	4020.11181640625	4544.07470703125	5287.99267578125	5263.75048828125	3790.388427734375	4364.69873046875	4154.3857421875	4857.06005859375	4523.88916015625	4585.39306640625	5304.91943359375	4552.75390625	5248.50537109375	4051.636962890625	4608.4970703125	5330.79296875	4247.28662109375	4298.107421875	4160.13330078125	4461.2841796875	4275.69091796875	4953.701171875	4032.716796875	6442.5859375	5688.08251953125	4211.9228515625	5359.09033203125	4199.3544921875	5730.1142578125	4606.6298828125	3890.08544921875	4129.5068359375	3834.23779296875	4936.3330078125	4433.580078125	4870.01513671875	5177.47705078125	5411.3310546875	4066.60498046875	4506.62451171875	4767.6611328125	5031.41357421875	4377.7373046875	4268.1552734375	4464.4814453125	4757.9287109375	5083.83740234375	4156.931640625	4423.26904296875	6359.63427734375	4642.2724609375	4702.52783203125	3979.792236328125	4997.3818359375	4415.8154296875	4493.72900390625	4753.60400390625	6694.34326171875	4918.82177734375	3939.318969726562
30	60	33318.7890625	20555.650390625	21483.5546875	26607.595703125	27517.521484375	24875.921875	31486.4140625	23556.173828125	20414.845703125	25275.900390625	21760.291015625	15143.4521484375	29271.31640625	24226.3203125	19317.26953125	20797.322265625	20906.119140625	26986.564453125	28408.76171875	23009.671875	31474.18359375	21647.630859375	25930.98046875	24247.458984375	28435.2578125	25424.390625	21619.556640625	8119.56494140625	8581.306640625	26037.765625	22870.6484375	26843.271484375	5970.96142578125	27173.93359375	28732.591796875	28573.689453125	36563.34375	20953.220703125	26443.287109375	27708.7734375	24804.3828125	29775.9453125	28248.40234375	28509.826171875	34119.109375	32188.11328125	26372.91015625	25018.0859375	29169.236328125	30509.439453125	28390.06640625	27396.53125	34937.22265625	28463.353515625	31619.873046875	28052.287109375	30848.474609375	31918.052734375	30135.47265625	29315.001953125	28183.689453125	26580.36328125	28514.564453125	30545.478515625	23100.197265625	37550.765625	30953.455078125	28219.77734375	31278.986328125	30285.8359375	34432.2734375	24367.015625	26424.830078125	28680.185546875	25139.4921875	29734.05859375	30737.5546875	29964.056640625	32813.671875	34552.69140625	27264.609375	26205.466796875	30945.640625	32216.455078125	30499.796875	30429.455078125	33255.1640625	29233.529296875	33986.29296875	28279.5859375	29981.15625	34515.3515625	31998.212890625	31356.29296875	27762.767578125	28421.40234375	29614.021484375	33080.765625	24428.3984375	37112.95703125	29789.212890625	28444.61328125
60	90	64053.9609375	37339.296875	39420.55078125	49337.08984375	51412.5703125	47544.51171875	59302.27734375	44999.796875	35248.6015625	40822.32421875	40511.86328125	26661.978515625	55978.44921875	43077.5625	35548.8125	37709.3828125	38387.3203125	48078.55859375	53096.46484375	46785.10546875	58440.1640625	42550.63671875	43963.86328125	37905.83203125	47150.03515625	44356.80078125	40078.1796875	12315.5546875	13760.267578125	46767.26171875	40669.46484375	43086.6015625	9644.88671875	48873.12109375	50415.92578125	53484.8515625	60889.37109375	37409.73828125	47171.515625	49968.85546875	44747.81640625	51912.5546875	52749.4765625	50807.82421875	58536.50390625	55263.4609375	47755.1484375	42008.5703125	51391.796875	53772.1640625	50990.31640625	50868.05078125	61775.0703125	50368.96875	56608.1640625	50619.37109375	55671.08203125	53253.22265625	55278.03125	53157.90625	50875.40234375	46345.9296875	49598.79296875	55184.59765625	39032.04296875	62643.20703125	51220.5859375	52466.3203125	51133.24609375	54968.94921875	60411.140625	40679.50390625	47152.12890625	50553.71484375	45551.5390625	53134.87109375	54917.8828125	52400.9765625	57482.91796875	56132.84765625	48031.6171875	44080.54296875	53742.0859375	55756.703125	53197.0546875	55457.24609375	61528.55859375	52029.75390625	58014.86328125	50425.1796875	53728.58984375	55659.0625	58870.72265625	55813.76171875	50006.09375	48966.80859375	51914.53125	55387.7265625	40857.9453125	59489.28125	48873.7265625	52692.345703125
90	120	67593.984375	39668.68359375	41507.3359375	51546.24609375	54272.8828125	49789.015625	63418.78125	46881.71484375	35194.73046875	42812.1953125	39552.20703125	26756.216796875	56876.1015625	44023.63671875	35210.4296875	39942.1328125	40805.30078125	50849.40234375	56296.76171875	46492.578125	62652.1171875	45496.17578125	45288.7734375	39412.8515625	49245.12890625	44378.88671875	38123.4765625	10876.013671875	13131.8251953125	51412.04296875	43290.90234375	41094.12890625	9295.8154296875	52672.57421875	53099.6484375	55504.4609375	61445.359375	37964.44921875	49285.9609375	52877.6953125	47564.125	53434.6796875	56379.12890625	53407.82421875	60096.171875	58356.8359375	49968.87890625	43366.125	53959.890625	56041.9765625	56502.01953125	53025.00390625	65231.1484375	53254.84375	60636.046875	53466.29296875	57935.12890625	55417.2890625	58605.32421875	54929.71484375	52207.1484375	48662.078125	52128.92578125	57329.86328125	41624.55859375	63892.76171875	51968.6015625	56139.85546875	53942.078125	58352	63132.96484375	40526.640625	49752.1875	54426.3359375	48287.5625	54738.9375	57940.97265625	54233.953125	59827.57421875	58022.3671875	50134.1328125	47288.76171875	56110.109375	59578.609375	55623.390625	56889.75390625	67398.03125	53903.08203125	61568.17578125	53691.46875	57549.53515625	52468.12109375	61957.12109375	56908.140625	53079.2265625	50073.4609375	54142.69921875	60241.43359375	42404.73046875	63192.28125	50960.61328125	56192.076171875
120	150	66576.7109375	39552.77734375	42128.72265625	51070.3671875	53267.9296875	47860.578125	61588.8828125	47601.6640625	34356.5078125	43617.89453125	39441.375	26091.994140625	55075.7578125	42228.50390625	37613.5390625	39873.1953125	40502.24609375	50412.2265625	57027.73046875	46951.41015625	62084.6875	44401.40234375	44410.265625	36302.77734375	48371.4296875	43066.5234375	36110.0546875	10972.654296875	12904.400390625	48483.8984375	43661.4609375	39384.1875	9354.302734375	52004.45703125	54280.99609375	55423.46875	61359.5625	36624.09765625	49602.64453125	52051.98828125	47236.87109375	50685.9140625	56173.48828125	52333.23828125	59198.04296875	58514.83984375	50026.94140625	43119.75390625	53088.27734375	55017.5703125	54812.7578125	52621.140625	64530.1640625	51539.46484375	59439.890625	52554.15234375	56856.9140625	53318.9375	57488.203125	54753.40625	51512.30859375	48558.71875	51657.04296875	54835.32421875	41771.10546875	64762.453125	50503.10546875	53904.23828125	53200.26171875	57966.40625	60733.25	40301.38671875	49225.12109375	53207.94921875	48224.02734375	52144.49609375	57581.53125	52524.05078125	58311.1953125	56593.85546875	50652.046875	44836.56640625	55861.88671875	58060.5078125	57793.71484375	56270.21875	67601.0390625	52994.12890625	60996.52734375	53375.91015625	55794.7734375	53032.0625	61405.19140625	56112.04296875	51602.6015625	50314.5625	53599.86328125	59690.02734375	42022.59375	62742.95703125	50174.87109375	55861.548828125
150	180	65964.1953125	39094.01953125	40555.2578125	50209.7265625	52822.0625	47799.23828125	62543.77734375	48486.70703125	34974.234375	45599.109375	38914.15234375	26287.498046875	55027.09765625	42973.9609375	37139.5078125	39360.83984375	40370.53125	49136.19921875	54110.3828125	47500.67578125	61250.4453125	44714.4375	46126.33984375	39030.83203125	56961.421875	44315.15625	38318.12109375	10400.759765625	12653.6171875	46547.921875	42139.171875	38366.9453125	9291.05078125	51620.4296875	53754.50390625	52367.25	59220.94140625	38017.05078125	48116.515625	51032.14453125	46830.9296875	50015.5703125	54929.78125	51416.08984375	59043.53515625	54989.25390625	48710.953125	44363.87890625	51379.2109375	55274.40234375	54402.75390625	52074.2421875	62636.0625	50920.1875	57825.015625	51612.94140625	54630.5234375	53067.640625	56093.96484375	53102.49609375	50747.65625	47285.8359375	49643.96484375	55989.4765625	40195.08203125	63326.15234375	49520.34375	53196.34375	54519.6171875	55020.765625	62201.70703125	38083.6875	48584.7734375	52744.546875	48095.5859375	53057.0546875	56186.37890625	52686.72265625	58027.75	55875.80859375	49777.16015625	44575.41015625	54439.75390625	56082.66796875	54180.8125	54801.078125	65189.09375	51961.35546875	59505.015625	51771.828125	55657.34375	52783.15625	59536.6796875	54853.69921875	51278.48828125	47896.62890625	53253.1796875	57924.9375	40857.83203125	63451.6328125	48893.90625	54758.98046875
180	240	63186.5	38042.14453125	40061.5234375	48488.65234375	52067.72265625	45434.375	59181.69921875	46975.05078125	34494.7578125	42720.3203125	38948.2734375	25741.513671875	51772.54296875	42639.2109375	37418.9921875	38406.2578125	39259.3046875	47642.51953125	54394.29296875	44446.61328125	58494.69140625	43439.125	44902.1171875	37465.125	51002.734375	42670.3046875	38880.56640625	9754.51953125	12307.5546875	47209.765625	41016.9765625	36796.17578125	9295.634765625	48890.22265625	52335.23046875	51035.10546875	58152.99609375	35815.19921875	47095.375	49487.2734375	45068.29296875	47435.328125	52855.0859375	49578.2734375	56534.63671875	53474	46821.43359375	41897.6796875	50372.953125	51511.03515625	51636.69921875	49616.640625	60798.4140625	49032.60546875	54994.51171875	49683.6328125	52724.2734375	52292.91015625	53541.15625	51722.43359375	48988.5859375	45388.07421875	48328.12890625	53399.26171875	38547.78515625	58950.87890625	48127.91796875	51672.7421875	50154.16015625	54121.81640625	58586.28515625	36442.98046875	47454.34765625	50627.38671875	46283.7578125	49730.67578125	54286.109375	50509.87109375	55940.58203125	53093.8984375	47902.17578125	43857.73828125	50962.52734375	54065.9765625	52544.359375	52532.75390625	64459.33984375	50888.94921875	57569.32421875	49426.734375	52022.62890625	49392.50390625	57341.71484375	52453.5859375	49580.50390625	46924.4140625	50880.55078125	55250.24609375	39289.984375	58083.5	47831.58203125	52920.1953125
240	300	60060.55859375	36634.38671875	38159.53125	45793.73828125	50580.74609375	43126.2734375	56501.28515625	44617.7109375	32877.96484375	43053.55859375	37074.80078125	25004.171875	48362.8359375	41942.53515625	38925.71484375	36922.95703125	37642.62890625	44945.65234375	52269.390625	42294.9140625	55084.8671875	42196.578125	42959.28515625	35195.609375	49038.44921875	41594.03125	38096.703125	9221.080078125	11879.5888671875	43938.15625	38261.33203125	34586.08984375	9253.34765625	47438.57421875	48585.046875	47881.015625	55128.703125	35581.9609375	44809.39453125	46814.56640625	43103.31640625	43925.5546875	50524.5234375	47000.11328125	53317.51171875	51777.43359375	44588.890625	40598.3125	46808.1796875	48907.01953125	49630.51953125	46439.74609375	58342.1796875	46489.3984375	51426.140625	47241.546875	49499.9375	50062.1875	50252.05078125	48324.09375	46955.75390625	43011.55859375	46178.796875	49636.703125	37053.99609375	52572.8515625	45600.71875	48399.1640625	49929.390625	49799.09375	55545.5234375	33891.546875	45699.45703125	48047.10546875	43144.40234375	46833.84375	51598.17578125	47776.2421875	52898.11328125	49873.03515625	45191.80078125	42229.9375	48569.4140625	50145.671875	48824.8359375	48711.85546875	60419.20703125	47842.50390625	52994.046875	46383.28125	49052.77734375	47579.19140625	53676.359375	49427.91015625	46797.90234375	44476.453125	48378.84765625	49967.70703125	37154.31640625	53206.5234375	45640.32421875	49834.912109375
300	360	56536.69921875	35592.80078125	36947.87109375	43780.85546875	47837.41796875	40442.27734375	53076.16015625	41949.91796875	32419.2578125	42390.7265625	37150.640625	24105.48046875	47797.76953125	39670.83203125	37510.26171875	35709.546875	36350.609375	43001.94140625	50210.93359375	40431.2265625	52435.17578125	41444.921875	43539.66796875	36242.1640625	45713.62109375	41622.05859375	37806.40234375	9075.447265625	11627.6787109375	42236.27734375	38297.37890625	32668.96484375	9371.984375	43632.35546875	46265.796875	44300.65625	53042.51953125	33564.421875	43420.00390625	44301.82421875	41332.2109375	42046.0078125	48312.296875	44902.6953125	51702.3671875	49868.72265625	42821.73046875	38273.4765625	44759.078125	45953.76953125	47114.109375	44843.80859375	57214.0546875	44305.41015625	48518.27734375	44725.46484375	46941.63671875	47106.58203125	47345.203125	45167.98046875	44535.28515625	40955.0234375	42732.4375	47080.22265625	35037.16796875	53490.390625	43575.44140625	46925.64453125	45349.85546875	47453.1484375	52708.40625	31729.376953125	43323.86328125	45430.13671875	41104.79296875	44561.59765625	49098.2109375	44555.953125	50769.75390625	47362.82421875	42647.140625	41463.0546875	46303.78515625	48154.18359375	46054.375	46578.9609375	58824.0625	45137.46484375	50498.75390625	43934.16796875	46748.421875	45365.4609375	49912.90625	45901.99609375	44720.0625	42383.76953125	45688.12109375	47392.0390625	34853.67578125	52090.30859375	43269.6796875	47587.357421875
360	480	52712.94140625	34133.94921875	35647.46875	41035.44921875	45925.4921875	38018.234375	50157.5078125	41410.22265625	30905.400390625	41072.47265625	36050.109375	23704.482421875	45236.69140625	39299.42578125	37197.70703125	34226.69921875	34932.875	40452.61328125	47746.21875	37252.171875	48664.66796875	39716.30859375	43670.1875	35599.2421875	42767.21484375	39187.91015625	37573.62109375	8803.7373046875	11415.125	38668.9375	36829.85546875	30626.638671875	9478.8994140625	42931.86328125	43673.2890625	41161.62890625	50366.765625	32609.615234375	41606.80859375	41942.05078125	38439.6875	39501.3671875	46123.10546875	41984.953125	49227.41796875	45052.8671875	40063.75390625	36480.05078125	41327.71484375	42721.4921875	43722.8515625	41731.57421875	53449.953125	41873.4375	45763.90625	41581.28125	44595.11328125	44501.03515625	43901.859375	42062.6875	41907.40625	38635.78515625	41114.5390625	44066.0078125	33983.19140625	48659.3515625	41125.44921875	44625.16796875	43396.078125	43346.81640625	50700.8984375	32724.947265625	41526.87109375	42459.109375	39126.3125	41294.16015625	46612.75	42363.37890625	48415.85546875	44507.6484375	40256.53125	38256.38671875	43337.13671875	44089.7734375	43074.984375	43219.17578125	56235.265625	43031.64453125	46252.25	41606.859375	43979.56640625	42794.8359375	46803.56640625	42980.90625	41949.48828125	40002.78515625	43062.94921875	43887.2109375	34539.53125	49095.4140625	41736.99609375	44587.375
