frame_start	frame_end	highbinding	left_cerebral_white_matter	left_cerebellum_white_matter	left_cerebellum_cortex	left_thalamus	left_caudate	left_putamen	left_pallidum	brain_stem	left_hippocampus	left_amygdala	csf	left_accumbens_area	left_ventraldc	left_choroid_plexus	right_cerebral_white_matter	right_cerebellum_white_matter	right_cerebellum_cortex	right_thalamus	right_caudate	right_putamen	right_pallidum	right_hippocampus	right_amygdala	right_accumbens_area	right_ventraldc	right_choroid_plexus	aircavity	skull	vermis	pons	csf_extracerebral	head_extracerebral	ctx_lh_bankssts	ctx_lh_caudalanteriorcingulate	ctx_lh_caudalmiddlefrontal	ctx_lh_cuneus	ctx_lh_entorhinal	ctx_lh_fusiform	ctx_lh_inferiorparietal	ctx_lh_inferiortemporal	ctx_lh_isthmuscingulate	ctx_lh_lateraloccipital	ctx_lh_lateralorbitofrontal	ctx_lh_lingual	ctx_lh_medialorbitofrontal	ctx_lh_middletemporal	ctx_lh_parahippocampal	ctx_lh_paracentral	ctx_lh_parsopercularis	ctx_lh_parsorbitalis	ctx_lh_parstriangularis	ctx_lh_pericalcarine	ctx_lh_postcentral	ctx_lh_posteriorcingulate	ctx_lh_precentral	ctx_lh_precuneus	ctx_lh_rostralanteriorcingulate	ctx_lh_rostralmiddlefrontal	ctx_lh_superiorfrontal	ctx_lh_superiorparietal	ctx_lh_superiortemporal	ctx_lh_supramarginal	ctx_lh_frontalpole	ctx_lh_temporalpole	ctx_lh_transversetemporal	ctx_lh_insula	ctx_rh_bankssts	ctx_rh_caudalanteriorcingulate	ctx_rh_caudalmiddlefrontal	ctx_rh_cuneus	ctx_rh_entorhinal	ctx_rh_fusiform	ctx_rh_inferiorparietal	ctx_rh_inferiortemporal	ctx_rh_isthmuscingulate	ctx_rh_lateraloccipital	ctx_rh_lateralorbitofrontal	ctx_rh_lingual	ctx_rh_medialorbitofrontal	ctx_rh_middletemporal	ctx_rh_parahippocampal	ctx_rh_paracentral	ctx_rh_parsopercularis	ctx_rh_parsorbitalis	ctx_rh_parstriangularis	ctx_rh_pericalcarine	ctx_rh_postcentral	ctx_rh_posteriorcingulate	ctx_rh_precentral	ctx_rh_precuneus	ctx_rh_rostralanteriorcingulate	ctx_rh_rostralmiddlefrontal	ctx_rh_superiorfrontal	ctx_rh_superiorparietal	ctx_rh_superiortemporal	ctx_rh_supramarginal	ctx_rh_frontalpole	ctx_rh_temporalpole	ctx_rh_transversetemporal	ctx_rh_insula	reference
0	30	155.8950500488281	107.6240081787109	70.51018524169922	96.63455200195312	159.3014831542969	102.9490966796875	212.3485565185547	194.1990203857422	139.4886474609375	198.0392761230469	193.9378509521484	78.82051849365234	210.1183166503906	203.7338562011719	82.47713470458984	107.0448226928711	74.79808044433594	114.971305847168	139.5526275634766	92.38542938232422	132.637939453125	55.28192901611328	82.3046875	48.22746658325195	97.55984497070312	130.2097625732422	63.28945541381836	59.39183807373047	58.18054580688477	127.5477981567383	129.6678924560547	139.8512115478516	43.48557281494141	85.99942779541016	105.0693359375	155.8784332275391	145.3684234619141	104.6584091186523	146.3830261230469	104.5815124511719	100.4757995605469	135.1522979736328	106.8111572265625	149.8475189208984	139.1992492675781	226.1329803466797	135.5113525390625	139.9287261962891	142.6749572753906	242.0040130615234	84.75871276855469	157.2320404052734	149.5785522460938	110.1689147949219	100.5132293701172	120.0437469482422	127.6793746948242	188.7229461669922	153.4301452636719	167.61962890625	117.7223587036133	192.4897918701172	152.3409423828125	149.0086212158203	112.6223526000977	449.2853393554688	220.2963409423828	101.7372207641602	83.92491149902344	88.65155029296875	173.2534332275391	114.0515441894531	110.699462890625	114.6459579467773	95.02597808837891	95.77118682861328	124.7772903442383	164.8710021972656	144.7537536621094	217.1270751953125	103.0134048461914	133.0421752929688	138.4814758300781	162.8767852783203	168.2472076416016	140.9912109375	157.4809265136719	168.0891571044922	111.7748947143555	115.2731552124023	128.4614105224609	175.5469512939453	111.9037780761719	157.4178466796875	123.1188888549805	185.7637176513672	170.7792358398438	194.5399932861328	135.6788635253906	344.8717651367188	249.8848876953125	105.0940132141113
30	60	4177.0634765625	2574.012451171875	2507.044189453125	3384.1240234375	3640.88427734375	2882.361083984375	4190.271484375	3504.534423828125	2593.843505859375	3128.790283203125	2520.044677734375	1929.561279296875	2635.958251953125	3016.548828125	3285.42529296875	2566.744873046875	2488.75830078125	3483.703125	3508.92822265625	3194.20068359375	3732.30322265625	3333.67822265625	3240.8779296875	2252.98095703125	3571.273193359375	3137.84521484375	2842.27880859375	1029.186889648438	1179.392456054688	3070.791259765625	2994.688232421875	3346.7783203125	819.3317260742188	3764.13232421875	3894.22412109375	4038.3369140625	4301.10595703125	2689.456787109375	3433.076904296875	3216.543701171875	3301.5126953125	3716.6875	3225.38671875	3889.76806640625	4149.6259765625	4345.96484375	3224.100341796875	3552.032958984375	3288.936767578125	4120.20068359375	3825.9462890625	4013.040283203125	4441.197265625	3261.275146484375	4019.4716796875	3562.299072265625	3648.385986328125	4211.25244140625	3743.233154296875	3524.072998046875	3135.15283203125	3394.380615234375	3546.856689453125	3594.685546875	1971.781127929688	4838.4296875	4028.375732421875	3220.3095703125	3833.022216796875	3488.57421875	3945.417236328125	2940.113525390625	3301.103515625	3441.685791015625	3098.635986328125	3755.968017578125	3515.084228515625	3843.900390625	3916.356689453125	3984.004150390625	3225.393798828125	3940.010498046875	3247.631591796875	4000.115966796875	3636.38232421875	3988.070068359375	4299.61083984375	3430.070068359375	3554.7978515625	3288.54052734375	3594.61572265625	4832.27294921875	3670.17041015625	3550.495849609375	3024.118408203125	3189.640380859375	3531.9072265625	4301.01220703125	2709.0751953125	5037.05419921875	4155.3662109375	3650.738647460938
60	90	11076.333984375	6582.73779296875	6798.27685546875	9109.896484375	9075.6123046875	7881.3046875	11011.90625	8566.9853515625	6674.484375	7714.99755859375	6905.13525390625	4680.4453125	8735.9755859375	7451.48095703125	7108.548828125	6598.07080078125	7001.6005859375	8970.0537109375	9222.8837890625	8275.1904296875	9722.26171875	7963.7314453125	7092.30810546875	6288.15283203125	7644.12548828125	6952.13525390625	6658.99365234375	2568.097900390625	2968.594482421875	9193.662109375	8171.24365234375	7918.46484375	2126.182861328125	9502.6494140625	9144.6005859375	9679.0947265625	10716.998046875	6688.0498046875	8477.619140625	8604.8720703125	7837.42431640625	9307.93359375	8521.0732421875	9197.7080078125	9923.326171875	9778.291015625	8084.400390625	7932.96240234375	8622.734375	10421.5546875	8994.8583984375	9521.7314453125	10481.5263671875	8601.4326171875	9447.494140625	9137.138671875	9168.2236328125	10346.087890625	9798.814453125	9182.1806640625	8678.7392578125	8438.65625	9124.8896484375	8972.107421875	6253.0009765625	11243.8046875	9653.44140625	8036.48388671875	9493.6787109375	9179.296875	10883.998046875	6962.908203125	8174.7978515625	8740.26171875	7639.60400390625	9916.2861328125	9236.69140625	9333.7509765625	9869.611328125	9515.7314453125	7940.37158203125	8113.919921875	8050.568359375	9508.0361328125	8984.5302734375	9938.7685546875	11105.654296875	8519.3203125	9113.591796875	8527.90625	9547.8095703125	9072.771484375	9907.583984375	9151.2041015625	8210.390625	8127.81494140625	8805.384765625	9234.861328125	6021.2021484375	12105.7626953125	9103.337890625	9723.57861328125
90	120	18525.7890625	11092.8291015625	11442.30078125	14954.865234375	15408.794921875	13444.6279296875	17552.73046875	13939.197265625	10483.072265625	13275.357421875	10964.2626953125	7745.04638671875	14116.3857421875	12613.5166015625	11655.330078125	11132.9736328125	11331.5224609375	15005.3916015625	15973.1396484375	13563.138671875	16694.111328125	12554.4765625	12503.166015625	10099.26171875	14358.734375	12140.3408203125	11611.0234375	3769.68505859375	4796.146484375	14233.9296875	12444.318359375	12558.9619140625	3412.42822265625	15751.8681640625	15466.310546875	16062.1142578125	17831.33984375	12271.17578125	13624.5673828125	14368.44140625	13088.546875	15130.939453125	14426.3955078125	15245.8603515625	16376.5546875	16113.185546875	13969.8408203125	12305.3408203125	14112.625	16322.7802734375	13830.7587890625	15465.98828125	19236.732421875	14474.1796875	16281.0048828125	14782.265625	15862.876953125	17126.693359375	16423.498046875	14866.224609375	14251.134765625	13734.3388671875	15071.6337890625	15712.2529296875	10117.4345703125	18584.076171875	15182.341796875	14451.3681640625	14590.6435546875	15617.2333984375	17629.775390625	12743.04296875	13437.6416015625	14858.1689453125	12309.517578125	15182.1982421875	15603.255859375	15216.25390625	16854.06640625	15370.208984375	13580.0556640625	12762.154296875	13249.41015625	15227.6796875	15689.5908203125	16144.9482421875	18515.345703125	14155.4296875	15694.3955078125	14339.591796875	15544.060546875	15454.7275390625	16154.0185546875	15387.59765625	13813.865234375	13137.5380859375	14704.5869140625	16159.849609375	10782.2861328125	18575.20703125	14606.7255859375	16221.57763671875
120	150	24052.75	14324.2451171875	14586.9990234375	18962.01171875	19553.37109375	17952.44921875	22363.396484375	17808.2890625	13199.65625	15253.068359375	14628.55859375	9277.9072265625	18157.068359375	14744.3408203125	12368.181640625	14145.693359375	14522.2255859375	19085.580078125	20013.33203125	17173.705078125	21796.32421875	16209.830078125	14918.5087890625	13172.162109375	16002.4794921875	15599.2822265625	14628.720703125	5361.357421875	5758.66943359375	18494.833984375	16510.244140625	14894.958984375	4359.90673828125	19346.888671875	18615.47265625	20742.701171875	22974.669921875	13958.783203125	16814.53515625	18031.65625	17369.091796875	20043.017578125	18405.685546875	19594.8984375	21626.08984375	19109.970703125	17321.033203125	16020.3828125	17042.701171875	20567.158203125	19523.91796875	19999.888671875	24191.3125	18024.193359375	21201.466796875	18998.501953125	20663.583984375	19230.734375	20806.337890625	19356.384765625	18919.0546875	17313.71484375	19002.3515625	20627.7265625	13684.2236328125	20745.130859375	18707.08984375	19134.05859375	17856.865234375	20362.560546875	23355.365234375	14033.94140625	17256.640625	19135.0390625	16015.7734375	20254.775390625	18674.76171875	19150.01171875	20857.892578125	20238.572265625	17709.041015625	15583.0546875	17734.92578125	19994.79296875	20328.384765625	20931.0234375	23986.736328125	18321.337890625	21771.12890625	18177.24609375	20495.048828125	19765.421875	20958.9375	19573.759765625	17665.8671875	17112.12109375	18776.572265625	21733.71484375	12758.5849609375	23480.8671875	17945.01171875	20713.5419921875
150	180	24468.271484375	14542.0576171875	14972.1787109375	19563.279296875	19544.5546875	18729.15625	22470.994140625	17775.216796875	13014.9169921875	16222.3232421875	14091.2021484375	9111.1669921875	20517.080078125	15721.759765625	13000.4306640625	14559.255859375	14045.9326171875	19564.439453125	20875.796875	17580.064453125	21660.796875	16547.822265625	15081.109375	12496.9462890625	19333.646484375	16037.935546875	13865.2919921875	4925.28662109375	5628.60107421875	19089.705078125	16589.73828125	14484.578125	4423.56884765625	19223.208984375	19044.841796875	20085.876953125	22647.544921875	14555.4453125	17772.064453125	18577.689453125	17531.642578125	19745.24609375	18205.47265625	19882.3984375	21727.029296875	19328.677734375	18148.0078125	16617.962890625	17404.123046875	20584.54296875	19785.349609375	19651.33984375	25705.017578125	18026.837890625	21418.25	19549.31640625	20954.576171875	20158.501953125	21298.630859375	19344.3671875	18832.03515625	17415.91796875	19256.181640625	21220.0546875	14587.4296875	24087.525390625	18584.0859375	18125.0859375	19804.197265625	20589.564453125	23369.8125	13261.8154296875	17319.150390625	19350.57421875	16617.310546875	21223.974609375	19521.453125	19315.154296875	21122.79296875	19784.185546875	17580.8203125	16126.4814453125	18497.697265625	19994.767578125	20846.75	21043.79296875	23559.921875	18146.640625	21572.240234375	18802.720703125	20433.5625	18302.951171875	21509.103515625	19759.42578125	18001.62109375	16798.73828125	18589.26953125	21041.51953125	14564.638671875	23225.271484375	17904.3125	21478.1083984375
180	240	24380.71484375	14402.787109375	14941.6181640625	19310.712890625	19917.974609375	18065.732421875	22698.369140625	18015.876953125	13489.3701171875	15862.580078125	14373.26953125	8996.3466796875	18561.880859375	15720.857421875	13035.7734375	14335.705078125	14597.8369140625	19497.568359375	21037.4609375	16883.38671875	22151.2734375	16747.017578125	15418.0400390625	13157.4921875	17320.896484375	15490.1357421875	13388.0986328125	4616.0361328125	5591.35205078125	18813.16015625	16355.1328125	13954.2177734375	4474.58056640625	18826.443359375	19498.6953125	19963.92578125	22860.248046875	13273.677734375	17582.181640625	18129.212890625	17015.8203125	20000.11328125	18149.69140625	19059.978515625	20964.50390625	19559.419921875	17527.759765625	15678.28125	16821.455078125	19756.015625	19080.216796875	19815.529296875	24953.27734375	17932.9453125	20436.576171875	18990.3671875	20372.6953125	19290.724609375	20683.0390625	18731.544921875	18643.947265625	17242.39453125	19067.1328125	21177.546875	13943.2939453125	21326.615234375	17770.37109375	17842.3515625	17825.916015625	19738.451171875	22754.6484375	14215.037109375	16989.140625	18642.548828125	16487.201171875	19528.271484375	19241.294921875	19192.3046875	20853.81640625	19615.98828125	17689.486328125	16180.8154296875	17651.490234375	19223.2421875	20058.69140625	20204.828125	23799.55859375	17997.021484375	21325.38671875	18348.798828125	19725.591796875	18749.818359375	21073.71484375	19267.865234375	17845.1015625	16649.0234375	18674.326171875	21503.443359375	13568.8935546875	22827.0625	17358.6640625	21302.943359375
240	300	23458.17578125	14083.7978515625	14812.4482421875	18547.251953125	19599.62109375	16954.427734375	22624.56640625	17606.826171875	13410.1572265625	15642.287109375	13796.3134765625	8888.0791015625	18512.3125	15875.189453125	14600.875	14022.333984375	14481.7265625	18396.55859375	19732.5859375	16587.197265625	21126.2734375	16519.796875	15293.392578125	13336.009765625	15912.205078125	15298.9208984375	13821.5625	4798.2744140625	5428.65234375	17862.021484375	16115.7080078125	13332.9970703125	4500.953125	18935.84765625	18483.994140625	19085.62109375	21712.162109375	13334.0205078125	17182.837890625	17700.001953125	16697.412109375	18456.158203125	17748.27734375	18707.697265625	20575.15625	18684.154296875	17281.787109375	15227.26171875	16820.583984375	18567.74609375	18799.25	18551.42578125	23352.470703125	17386.98046875	19960.345703125	18050.255859375	19666.96484375	18836.8125	19980.40234375	18007.0625	17980.91796875	16758.521484375	18112.919921875	19805.927734375	14094.2294921875	20065.990234375	17384.841796875	18155.962890625	18560.244140625	18927.90234375	22143.26171875	13486.462890625	16909.78125	18060.873046875	16242.494140625	19403.125	18675.029296875	18578.193359375	20812.466796875	18966.962890625	17189.623046875	15305.7900390625	16807.404296875	18877.166015625	18794.484375	19439.9296875	22748.16796875	17486.14453125	20115.736328125	17862.279296875	19068.98828125	17669.728515625	20164.525390625	18435.859375	17346.421875	16340.8408203125	17828.02734375	21357.673828125	12937.802734375	21346.888671875	16970.306640625	20207.63671875
300	360	22753.337890625	13803.3525390625	14661.5849609375	17964.228515625	18976.75	17107.791015625	21631.20703125	16928.443359375	13101.4482421875	16422.63671875	14138.1435546875	8744.716796875	17929.90234375	15217.826171875	13615.8642578125	13821.1533203125	14444.9091796875	17852.849609375	19642.8359375	15938.951171875	20389.615234375	16787.59375	15717.4228515625	13822.2568359375	18428.16015625	15517.0791015625	12869.455078125	4824.7939453125	5469.13330078125	17646.390625	15851.1123046875	12803.2109375	4566.27001953125	18301.1953125	16930.8828125	18556.244140625	20785.845703125	13623.2119140625	16707.017578125	16938.16796875	16000.1572265625	17440.7109375	17616.265625	17942.853515625	20374.423828125	17774.09375	16698.044921875	15065.5009765625	16128.3349609375	18080.970703125	18046.291015625	18032.052734375	23021.0234375	16605.232421875	18911.537109375	17424.216796875	18692.98046875	18441.00390625	19289.255859375	17074.61328125	17106.568359375	16410.587890625	17780.62109375	19180.10546875	13154.4052734375	20399.255859375	17121.654296875	17155.896484375	16893.958984375	17741.20703125	21270.83984375	13443.7880859375	16531.837890625	17505.54296875	15837.4306640625	18259.517578125	17975.9140625	17376.65234375	19907.794921875	18477.380859375	16677	15129.8212890625	16324.6240234375	18002.509765625	18476.185546875	18248.0546875	21765.640625	16876.072265625	19520.564453125	17305.23046875	17891.1953125	16707.90625	19177.0625	17378.384765625	16902.779296875	16060.390625	16996.892578125	19969.359375	12850.7568359375	20608.052734375	16840.859375	19533.603515625
360	480	21461.76171875	13481.880859375	14374.521484375	17142.49609375	18875.61328125	15546.1572265625	20461.38671875	17233.330078125	13060.802734375	16057.767578125	14862.70703125	8652.056640625	17473.654296875	15404.982421875	13410.9306640625	13458.9404296875	13961.1279296875	17274.431640625	19110.916015625	14708.40625	19856.98828125	16059.12109375	15252.61328125	13339.2177734375	16313.0439453125	15188.609375	13431.947265625	4638.4140625	5468.42626953125	16971.216796875	15992.5634765625	12253.607421875	4638.1123046875	17058.119140625	17380.40625	17626.91015625	20282.82421875	13123.4501953125	15970.4443359375	16304.435546875	15647.5712890625	16714.86328125	16767.892578125	17084.369140625	19460.04296875	17309.939453125	16002.70703125	14795.1875	15331.8662109375	17706.791015625	16961.138671875	17144.982421875	22005.580078125	16132.6572265625	18570.134765625	16494.130859375	17883.416015625	17156.474609375	18174.208984375	16491.90625	16536.421875	15643.234375	16689.634765625	18048.0546875	14040.84375	19209.869140625	16286	16405.48828125	16891.83203125	17166.70703125	20499.18359375	12793.611328125	15827.66015625	16637.388671875	15031.4169921875	17414.23828125	17391.5546875	17029.09765625	19254.302734375	17623.666015625	15966.33203125	14726.7822265625	15276.4970703125	16580.751953125	17353.046875	17701.359375	21259.34765625	16217.8212890625	17976.814453125	16298.0751953125	17286.3203125	16658.5390625	18030.400390625	16751.67578125	16020.2021484375	15129.2578125	16440.763671875	19537.923828125	12477.544921875	20306.306640625	16069.423828125	18741.1962890625
