	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	max_x	max_y	max_z	max_tot	median_tot
0	4.115133	-0.053969	-7.237021	-0.021939	0.021354	-0.007764	3.528591000000006	1.4343919999999883	4.326203000000007	5.187479623134914	3.8070828094262823
1	4.115133	-0.053969	-7.237021	-0.021939	0.021354	-0.007764	3.528591000000006	1.4343919999999883	4.326203000000007	5.187479623134914	3.8070828094262823
2	4.115133	-0.053969	-7.237021	-0.021939	0.021354	-0.007764	3.528591000000006	1.4343919999999883	4.326203000000007	5.187479623134914	3.8070828094262823
3	4.115133	-0.053969	-7.237021	-0.021939	0.021354	-0.007764	3.528591000000006	1.4343919999999883	4.326203000000007	5.187479623134914	3.8070828094262823
4	4.115133	-0.053969	-7.237021	-0.021939	0.021354	-0.007764	3.528591000000006	1.4343919999999883	4.326203000000007	5.187479623134914	3.8070828094262823
5	4.239667	0.203531	-7.869369	-0.02671	0.020598	-0.008464	3.6047870000000017	1.5680810000000065	4.722272000000011	5.478083501641425	4.035807835043175
6	4.622228	0.480265	-8.858465	-0.031395	0.021265	-0.009761	3.8936219999999935	1.645190999999997	5.382559000000008	6.19583025858634	4.539899404424581
7	4.800444	0.327036	-8.689902	-0.029492	0.021905	-0.009899	4.054338000000001	1.5834389999999843	5.301892000000009	6.320795093611013	4.586258231712974
8	4.956093	-0.245988	-7.579656	-0.026735	0.019847	-0.011708	4.092855999999998	1.7380720000000025	4.519775999999993	5.836873729307924	4.165913750998816
9	4.878956	-0.554389	-7.055856	-0.022411	0.021133	-0.010971	4.03052799999999	1.7069420000000122	4.173703999999994	5.449925183892069	3.984735578841467
10	4.710769	-0.465307	-6.490512	-0.018386	0.021779	-0.009232	3.993038999999996	1.3971240000000051	3.818404000000001	5.224433496187119	3.8066361248582785
11	4.084555	0.044934	-5.865651	-0.01831	0.018781	-0.00753	3.5081389999999857	1.0323499999999939	3.4197910000000036	4.6096979855888485	3.3449503851450464
12	3.631966	0.490857	-5.199227	-0.011357	0.020886	-0.0031	3.390235000000004	0.8706690000000066	3.061501	4.451015784075479	3.1625632518694253
13	2.344486	1.648774	-4.814074	-0.006096	0.023069	0.005453	3.1727550000000093	1.2817950000000025	2.909503000000001	4.140879791911137	2.85053797931541
14	1.505847	1.244118	-2.587359	-0.003684	0.014444	0.004715	2.23467500000001	0.9370940000000019	1.4046209999999917	2.546076253267768	1.6876211136460766
15	0.919813	0.515876	-0.318598	-0.003298	0.004532	0.001572	1.166989000000001	0.4120140000000134	0.7178380000000004	1.3913033014037512	1.0181368002159592
16	-1.401698	2.138801	1.676147	-0.006222	-0.006569	0.007798	0.8998719999999878	1.6299900000000065	2.0719430000000045	2.583337750351863	2.0151062853688404
17	-1.552617	2.718998	1.146139	-0.006375	-0.002984	0.00996	0.9556309999999968	2.0757040000000018	1.8780959999999958	2.6850876944103717	2.1290251341069437
18	-1.6543	3.103903	0.401667	-0.00682	-0.002506	0.011132	1.0166200000000032	2.383958000000007	1.2523320000000027	2.6117855514038624	1.9518742796527597
19	-2.495747	-0.657702	7.3797	0.01308	-0.016745	0.004878	2.1890649999999994	1.3624399999999923	5.403282000000004	5.667773895384765	4.6043172677821635
20	-1.122679	-3.236758	9.322203	0.015931	-0.022981	-0.007483	2.3356289999999973	2.788961999999998	6.742932999999994	7.198563861785625	5.788770342806948
21	-0.585781	-3.352655	8.803032	0.01404	-0.020707	-0.009211	2.0685589999999934	2.769986000000003	6.503801000000003	6.952389532999496	5.665292786237577
22	-1.789282	-1.468984	8.820867	0.008331	-0.021375	-0.003591	2.381647000000001	1.2480320000000091	6.891942	7.1471974964665	6.015341473019796
23	-2.151037	-0.172771	7.145224	0.003983	-0.018691	0.000134	2.163078000000013	0.20266199999998946	5.740551999999994	6.012994598834512	5.047610327994031
24	-1.364934	-1.325838	7.657278	0.005034	-0.020701	-0.005198	2.2149690000000106	0.9976660000000095	6.056494000000001	6.270009279438988	5.218721605795331
25	0.140291	-2.513011	6.681044	0.005002	-0.016576	-0.011037	1.6240290000000073	1.8135750000000002	5.324137999999998	5.634976401715008	4.70297121975555
26	-2.648515	0.556589	7.065848	0.003893	-0.020142	0.002377	2.5134390000000195	0.7156940000000134	5.5849779999999996	6.008741695220559	4.922960609633194
27	-2.969499	0.869085	6.929453	-0.000244	-0.022488	0.001935	2.871009000000001	0.7542470000000066	5.6804910000000035	6.220167009891213	5.0865250973033564
28	-3.007345	1.58422	5.26173	-0.003346	-0.019102	0.003919	2.778941000000003	1.3324620000000067	4.468384	5.254003759547477	4.238749132276876
29	-3.974918	3.049236	5.4379	-0.005241	-0.020438	0.008804	3.434902000000008	2.478782999999993	4.727227999999997	6.091517018573452	4.902522042950023
30	-4.76987	3.036319	6.129677	-0.00102	-0.019613	0.011494	4.102279999999993	2.356225000000009	5.076528000000003	6.6181774573464685	5.391226684675492
31	-2.143343	1.149298	4.006339	-0.007345	-0.01803	-0.000284	2.2052090000000106	1.2045140000000032	3.7356249999999918	4.46189257503775	3.3960360785091845
32	-2.60031	1.069635	5.772777	0.007884	-0.012008	0.004831	2.3092499999999916	1.3901089999999954	4.4646999999999935	4.92888756667983	4.193839203462765
