frame_start	frame_end	highbinding	left_cerebral_white_matter	left_cerebellum_white_matter	left_cerebellum_cortex	left_thalamus	left_caudate	left_putamen	left_pallidum	brain_stem	left_hippocampus	left_amygdala	csf	left_accumbens_area	left_ventraldc	left_choroid_plexus	right_cerebral_white_matter	right_cerebellum_white_matter	right_cerebellum_cortex	right_thalamus	right_caudate	right_putamen	right_pallidum	right_hippocampus	right_amygdala	right_accumbens_area	right_ventraldc	right_choroid_plexus	aircavity	skull	vermis	pons	csf_extracerebral	head_extracerebral	ctx_lh_bankssts	ctx_lh_caudalanteriorcingulate	ctx_lh_caudalmiddlefrontal	ctx_lh_cuneus	ctx_lh_entorhinal	ctx_lh_fusiform	ctx_lh_inferiorparietal	ctx_lh_inferiortemporal	ctx_lh_isthmuscingulate	ctx_lh_lateraloccipital	ctx_lh_lateralorbitofrontal	ctx_lh_lingual	ctx_lh_medialorbitofrontal	ctx_lh_middletemporal	ctx_lh_parahippocampal	ctx_lh_paracentral	ctx_lh_parsopercularis	ctx_lh_parsorbitalis	ctx_lh_parstriangularis	ctx_lh_pericalcarine	ctx_lh_postcentral	ctx_lh_posteriorcingulate	ctx_lh_precentral	ctx_lh_precuneus	ctx_lh_rostralanteriorcingulate	ctx_lh_rostralmiddlefrontal	ctx_lh_superiorfrontal	ctx_lh_superiorparietal	ctx_lh_superiortemporal	ctx_lh_supramarginal	ctx_lh_frontalpole	ctx_lh_temporalpole	ctx_lh_transversetemporal	ctx_lh_insula	ctx_rh_bankssts	ctx_rh_caudalanteriorcingulate	ctx_rh_caudalmiddlefrontal	ctx_rh_cuneus	ctx_rh_entorhinal	ctx_rh_fusiform	ctx_rh_inferiorparietal	ctx_rh_inferiortemporal	ctx_rh_isthmuscingulate	ctx_rh_lateraloccipital	ctx_rh_lateralorbitofrontal	ctx_rh_lingual	ctx_rh_medialorbitofrontal	ctx_rh_middletemporal	ctx_rh_parahippocampal	ctx_rh_paracentral	ctx_rh_parsopercularis	ctx_rh_parsorbitalis	ctx_rh_parstriangularis	ctx_rh_pericalcarine	ctx_rh_postcentral	ctx_rh_posteriorcingulate	ctx_rh_precentral	ctx_rh_precuneus	ctx_rh_rostralanteriorcingulate	ctx_rh_rostralmiddlefrontal	ctx_rh_superiorfrontal	ctx_rh_superiorparietal	ctx_rh_superiortemporal	ctx_rh_supramarginal	ctx_rh_frontalpole	ctx_rh_temporalpole	ctx_rh_transversetemporal	ctx_rh_insula	reference
0	30	653.8139038085938	382.0134887695312	421.6041259765625	545.3114013671875	541.14208984375	386.4314575195312	674.040283203125	508.5786743164062	591.8472900390625	581.5939331054688	571.1220092773438	229.0691070556641	499.3897399902344	539.87255859375	205.2421569824219	366.4029541015625	394.2778625488281	557.6336059570312	540.628662109375	434.907958984375	660.3643188476562	535.0723266601562	649.7409057617188	287.3466186523438	591.43603515625	364.6416320800781	274.5030822753906	216.0210113525391	232.8110961914062	442.9448852539062	361.2363586425781	597.811279296875	200.4375610351562	564.0147094726562	778.1295166015625	547.8365478515625	698.728271484375	718.9944458007812	528.1575927734375	473.5464782714844	491.8408508300781	626.9747314453125	438.443115234375	665.9066772460938	622.79296875	624.9935302734375	447.8453979492188	643.5638427734375	335.541748046875	802.3737182617188	561.7987670898438	626.3986206054688	682.5664672851562	506.07861328125	663.0039672851562	522.1422119140625	615.2586669921875	1033.335083007812	592.8624877929688	615.1024169921875	521.7474365234375	626.8953857421875	541.1516723632812	426.2590026855469	420.3840637207031	882.3980102539062	844.1478271484375	502.6409606933594	785.6453857421875	496.7522888183594	665.595947265625	761.0808715820312	412.6835327148438	496.2457885742188	361.1221923828125	606.423828125	435.843017578125	634.4874877929688	550.2679443359375	831.0074462890625	437.0040588378906	493.8565063476562	499.1598510742188	592.2656860351562	549.1005249023438	569.6532592773438	643.9414672851562	480.4580078125	679.8541870117188	435.1001281738281	528.883544921875	908.251708984375	574.860107421875	607.8775634765625	446.1139221191406	690.8104858398438	542.4349365234375	600.3069458007812	493.1887512207031	1502.706298828125	724.668212890625	577.3525390625
30	60	7270.68310546875	4019.774169921875	4362.240234375	6230.7890625	6059.01904296875	5080.2001953125	6973.33203125	4654.2265625	4601.8251953125	5314.83642578125	3802.117919921875	2522.129638671875	6187.67041015625	4912.42236328125	3745.561767578125	4022.620361328125	4501.0732421875	6283.478515625	6361.56298828125	4551.56982421875	6596.12255859375	4200.78076171875	4838.255859375	4666.8115234375	6867.88623046875	5007.93603515625	3108.729736328125	1824.703735351562	2218.136474609375	6014.01123046875	4854.5048828125	5894.98583984375	1823.585571289062	5421.61083984375	6616.37109375	6292.9375	7802.76123046875	4613.03662109375	5542.90234375	5510.77099609375	5620.5634765625	6058.87060546875	5852.390625	6698.7802734375	6867.21484375	6527.1337890625	5249.73779296875	5531.16015625	5195.736328125	7099.81005859375	5906.13232421875	6345.52001953125	7908.7666015625	5785.7607421875	6709.9697265625	6042.390625	6292.751953125	6431.12158203125	6449.955078125	6207.21533203125	5967.4462890625	5626.81884765625	5967.85888671875	6358.166015625	4419.0478515625	9170.5517578125	7003.35546875	5981.74072265625	7224.59619140625	6247.826171875	7565.029296875	6073.83447265625	5019.80224609375	5989.0263671875	5134.8515625	6733.392578125	6012.07373046875	6627.07470703125	6787.7998046875	7201.55810546875	5313.470703125	5498.8330078125	6524.30224609375	7320.34814453125	6473.775390625	6882.2265625	7636.06689453125	5944.82275390625	7245.6748046875	5714.00439453125	6453.96875	7298.68603515625	6803.0419921875	6584.498046875	5692.58349609375	6058.1904296875	5983.66748046875	7015.19580078125	4891.9814453125	8795.384765625	6580.357421875	6729.93017578125
60	90	15609.0888671875	8622.4677734375	9733.8818359375	12934.7744140625	13507.478515625	11915.328125	14653.9111328125	12036.17578125	9467.3310546875	10548.41015625	9456.4345703125	5416.86767578125	12731.71875	9635.05859375	7860.38671875	8488.3369140625	9781.142578125	12971.171875	13209.361328125	9470.3251953125	13824.841796875	10379.8916015625	10213.6787109375	8551.98046875	11355.6015625	9604.958984375	6962.51220703125	3456.026611328125	4075.923095703125	12829.529296875	10118.9658203125	10803.845703125	3431.693603515625	12398.7841796875	12294.6484375	13030.7841796875	15961.267578125	10359.1083984375	11642.4697265625	11976.7041015625	11217.44921875	13018.193359375	12302.4150390625	13506.2822265625	14301.6591796875	12913.2373046875	10927.12109375	11181.0830078125	11191.4345703125	13901.2001953125	12203.580078125	13240.001953125	16108.6220703125	11508.154296875	13369.7060546875	12314.6728515625	13074.07421875	13400.3662109375	13356.5693359375	12508.892578125	12192.427734375	11462.7373046875	12016.3544921875	13682.2275390625	8690.3994140625	17534.365234375	13173.91015625	12099.212890625	14055.6923828125	12863.4638671875	15514.19921875	10751.1826171875	10798.73828125	12293.3984375	10718.412109375	14321.2646484375	12311.77734375	13229.951171875	14303.3115234375	14683.6982421875	10838.3837890625	10106.501953125	12408.2177734375	14134.916015625	13501.0302734375	13910.6171875	16354.9658203125	11827.8759765625	15739.6181640625	12075.189453125	13219.0751953125	13753.052734375	13764.234375	13346.384765625	11941.2587890625	12292.4990234375	12271.10546875	14827.197265625	9219.1181640625	16949.44921875	12544.2998046875	14032.59130859375
90	120	23302.875	13337.68359375	15214.296875	19454.125	19582.380859375	16418.048828125	22130.314453125	16154.4375	14202.2744140625	15623.3134765625	14010.9833984375	8026.09912109375	18521.416015625	15103.2568359375	11451.669921875	13285.4931640625	15056.7138671875	19531.05859375	20443.18359375	14461.802734375	21836.05859375	15838.6259765625	15529.84375	14112.427734375	17867.69140625	15439.9111328125	10067.212890625	4867.14990234375	6042.3984375	18920.58984375	15904.0322265625	15894.263671875	4998.3095703125	18022.486328125	18739.314453125	19924.857421875	25302.037109375	14207.203125	17877.484375	17735.43359375	17392.14453125	20066.458984375	18710.15625	20324.56640625	21405.255859375	19895.279296875	16801.3046875	16928.69921875	17455.0703125	20894.748046875	17967.447265625	19820.708984375	26861.228515625	17852.673828125	20711.994140625	18777.337890625	20484.544921875	20386.869140625	20719.705078125	19295.306640625	19149.0078125	17176.05078125	18631.31640625	19970.09375	13823.646484375	26534.15625	19905.916015625	18486.625	20574.3359375	20465.64453125	24127.107421875	15593.767578125	16821.81640625	19168.330078125	16677.9609375	19614.677734375	19592.796875	20530.599609375	21514.603515625	21516.15234375	17006.185546875	16131.4267578125	18730.5703125	20941.525390625	20848.1015625	22015.501953125	25007.83984375	18212.203125	22504.392578125	18794.330078125	20354.90234375	20104.91015625	21289.162109375	20303.205078125	18354.8046875	18011.80078125	18722.4375	21693.283203125	13516.0322265625	23440.19921875	18832.1171875	21095.7353515625
120	150	29951.345703125	16590.732421875	18368.341796875	24301.453125	25407.228515625	20872.44140625	28140.04296875	21441.779296875	16887.76171875	19168.630859375	16600.71484375	10166.076171875	22175.474609375	18936.63671875	15180.6015625	16633.0703125	18423.0546875	23957.62109375	25805.970703125	20209.408203125	26462.9375	20303.375	19367.482421875	17159.17578125	23459.7578125	20042.275390625	12994.5322265625	5533.18212890625	7135.86083984375	21793.818359375	19898.26953125	18448.439453125	6080.20166015625	22588.841796875	23805.205078125	24787.96875	30009.244140625	19066.228515625	22231.384765625	22341.1015625	21692.12109375	24337.41796875	22780.359375	24423.892578125	26084.439453125	25007.720703125	21324.232421875	21698.392578125	21454.17578125	25825.611328125	23561.001953125	25206.57421875	31595.513671875	22158.53125	25615.31640625	23801.486328125	25067.666015625	24295.7421875	25880.23828125	23746.28125	23411.84765625	21519.73046875	23225.70703125	25008.650390625	16945.08984375	32518.904296875	23531.94140625	23714.423828125	25083.255859375	24790.548828125	29820.3984375	19095.31640625	21741.099609375	24050.66015625	20837.55859375	24052.830078125	24581.748046875	24676.2109375	27218.2890625	26040.41015625	21268.599609375	19733.62109375	23242.705078125	25976.634765625	25895.11328125	26986.17578125	32095.978515625	22579.70703125	27220.615234375	22750.087890625	24968	23858.5625	26501.41015625	24573.041015625	22570.232421875	21475.7265625	23180.396484375	26214.130859375	15006.2978515625	30670.140625	23746.923828125	26320.52734375
150	180	30073.2109375	16705.05859375	18997.912109375	24104.80078125	25189.90625	21629.595703125	27221.748046875	21439.0390625	16854.326171875	19421.755859375	18410.53515625	9734.7216796875	24021.41015625	19843.5234375	14068.5185546875	16640.572265625	19479.923828125	24047.068359375	25907.935546875	19840.59765625	27492.7421875	21391.9453125	19041.5703125	16858.623046875	22879.931640625	18800.98046875	13212.7939453125	5222.8134765625	6968.494140625	24118.009765625	19935.419921875	17296.958984375	6120.37451171875	23284.158203125	24261.455078125	25847.5	31044.75	16319.4951171875	21677.474609375	22260.615234375	21827.396484375	23147.234375	22707.984375	24109.03515625	26795.27734375	24109.3125	20832.384765625	20173.740234375	21695.5625	25103.88671875	24550.716796875	25569.109375	31355.892578125	22209.736328125	25365.939453125	23551.572265625	24548.806640625	23930.10546875	25402.53125	23731.451171875	23646.857421875	21226.798828125	22686.46484375	24937.5703125	16240.259765625	30656.37890625	22715.748046875	23289.2265625	24666.064453125	25971.478515625	29105.80859375	17424.390625	20955.09765625	24350.21484375	20788.03515625	22344.091796875	24360.40234375	24727.490234375	26688.423828125	25566.6484375	21179.642578125	19868.82421875	22831.59375	25085.140625	24511.251953125	26694.841796875	31616.66015625	23007.240234375	27191.783203125	23283.490234375	24484.984375	23307.548828125	26647.005859375	23881.333984375	22781.544921875	21756.22265625	23686.232421875	25626.537109375	15132.9052734375	26654.669921875	22918.107421875	26316.82421875
180	240	29034.015625	16167.5009765625	18266.98046875	22787.41015625	24350.826171875	20188.443359375	26986.41796875	20112.822265625	15747.5751953125	18767.37109375	17375.3203125	9165.15234375	22646.330078125	18125.8984375	13174.35546875	16029.599609375	18268.833984375	22820.248046875	24509.427734375	19545.55078125	26299.666015625	19163.232421875	18556.62109375	16013.8173828125	22695.931640625	18711.19140625	12026.8623046875	4738.42919921875	6806.77685546875	23585.046875	18388.384765625	16222.572265625	6078.33447265625	22347.1640625	22154.869140625	23633.607421875	29265.62890625	17111.1015625	21047.6328125	21833.11328125	20899.5390625	22044.9453125	21804.486328125	23362.623046875	25350.623046875	22844.3359375	20096.34375	19460.89453125	21542.658203125	23838.310546875	23169.80859375	24014.625	29550.228515625	21588.744140625	24726.103515625	22490.2265625	23896.3125	23089.5390625	24224.8671875	22562.765625	22143.60546875	20561.853515625	21899.45703125	23440.384765625	16014.2607421875	29472.029296875	22025.431640625	22798.376953125	23474.658203125	23664.82421875	28272.30078125	15163.435546875	20716.7734375	22671.322265625	20246.654296875	22028.892578125	23321.6953125	23178.94140625	24504.4296875	23987.46875	20569.056640625	18732.81640625	22144.345703125	23213.912109375	23888.017578125	24795.19140625	30370.046875	21704.48828125	25766.82421875	21687.021484375	23306.625	21574.326171875	25051.9296875	22922.9921875	21674.630859375	20349.375	22708.677734375	24707.87109375	14741.87890625	26871.1640625	21015.181640625	24891.1484375
240	300	27518.373046875	15409.8291015625	17425.29296875	21319.990234375	23864.173828125	18895.673828125	25813.296875	20010.26953125	15664.9716796875	18319.5703125	15973.8916015625	9229.259765625	20675.70703125	16945.1796875	13220.9736328125	15313.1455078125	17373.23828125	21660.623046875	23434.349609375	18401.7265625	25017.103515625	19831.61328125	18408.15234375	16803.57421875	21982.505859375	17568.833984375	12664.9765625	4687.470703125	6542.32177734375	22341.765625	18278.048828125	15102.7939453125	5987.2587890625	21426.20703125	20661.9921875	21895.732421875	27247.47265625	15020.767578125	20084.271484375	20267.318359375	19306.529296875	21332.056640625	20727.8828125	21710.224609375	23433.568359375	22073.630859375	19163.009765625	18097.080078125	19786.1640625	22206.521484375	21223.1171875	22480.30859375	27963.794921875	20077.6328125	22074.6484375	21279.75390625	22696.169921875	21769.58984375	22500.953125	21043.7421875	21055.46484375	19791.896484375	20660.328125	22603.734375	15197.9384765625	27008.36328125	20638.025390625	21679.255859375	21070.666015625	21558.283203125	26663.587890625	16245.49609375	19767.26953125	21496.173828125	19139.22265625	20378.3203125	22250.498046875	21663.330078125	23687.2890625	22580.3359375	19232.32421875	17831.68359375	20567.150390625	21825.5078125	21572.658203125	23013.5546875	28819.30859375	20372.572265625	23236.625	20427.048828125	21711.123046875	21658.8125	23424.572265625	21220.015625	20327.462890625	19307.234375	21034.08984375	23472.05859375	15098.1865234375	24597.619140625	20732.576171875	23424.1591796875
300	360	25912.966796875	14654.8369140625	16541.455078125	19977.328125	22948.248046875	18578.47265625	23014.29296875	18214.013671875	14884.5966796875	17706.560546875	15940.896484375	8802.51953125	20791.880859375	16323.2626953125	13328.541015625	14696.9462890625	16562.591796875	20286.943359375	22354.244140625	17439.08203125	23546.1796875	18861.78515625	18139.517578125	15235.833984375	20614.564453125	17247.25390625	11528.7724609375	4563.22509765625	6428.92626953125	20320.49609375	17376.458984375	14105.107421875	6014.53759765625	20472.298828125	19889.27734375	20887.322265625	25343.591796875	15259.9033203125	18863.138671875	19114.759765625	18514.197265625	18945.8046875	19456.044921875	20348.625	22703.326171875	21009.7578125	18043.193359375	17446.279296875	18656.587890625	21226.126953125	20135.16015625	21318.732421875	26589.4921875	19156.064453125	20816.771484375	20075.572265625	21013.49609375	20738.369140625	21224.703125	19709.732421875	19873.619140625	18503.03125	19348.1171875	20444.818359375	15371.8564453125	24431.26953125	19679.48046875	20757.43359375	19629.681640625	20502.529296875	25208.89453125	15634.7734375	19365.4140625	20042.091796875	17965.04296875	18650.00390625	20932.263671875	20436.134765625	22753.61328125	20878.482421875	18459.421875	17695.791015625	19301.11328125	20365.556640625	20059.73828125	21553.41015625	26624.18359375	19308.7265625	22071.462890625	19349.513671875	20357.390625	19092.345703125	21928.27734375	19748.8046875	19196.798828125	18334.826171875	20109.90625	22735.998046875	13496.728515625	23023.580078125	19149.12109375	21887.013671875
360	480	23697.93359375	14027.12890625	15927.6806640625	18892.927734375	20944.048828125	16329.166015625	21666.841796875	18281.4609375	14868.3466796875	17804.5546875	14850.671875	8448.193359375	19615.474609375	16485.693359375	12672.9619140625	13975.5498046875	16083.2470703125	18965.5390625	21290.5625	16618.970703125	21321.97265625	17358.779296875	17142.38671875	15438.060546875	19379.490234375	16320.763671875	10573.849609375	4435.49365234375	6391.5	18046.09375	17104.205078125	13004.310546875	5955.185546875	18551.76171875	18877.396484375	18709.451171875	24402.103515625	13897.3662109375	18373.263671875	17748.185546875	17236.779296875	18079.548828125	18392.447265625	18903.8046875	21425.01953125	19370.33984375	17011.65625	17157.888671875	17458.216796875	19434.0546875	18928.921875	20233.865234375	24637.47265625	18012.421875	19406.99609375	18663.5	19362.818359375	19251.015625	19961.123046875	18134.642578125	18572.54296875	17397.60546875	17829.99609375	18260.162109375	13808.6826171875	23830.1796875	18619.3984375	19229.830078125	18530.1171875	18270.15234375	23985.8046875	13805.44140625	17693.783203125	18615.787109375	16893.345703125	17878.998046875	19698.341796875	19178.814453125	21551.310546875	19176.4921875	17018.640625	16581.763671875	17502.69921875	18839.75	18834.58203125	19812.935546875	25899.548828125	17824.091796875	20307.23046875	17721.5546875	19048.240234375	17919.6328125	20162.24609375	17953.93359375	17877.69140625	17219.884765625	18304.03125	19519.5546875	13548.53125	21320.720703125	17752.150390625	20521.94921875
