	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	max_x	max_y	max_z	max_tot	median_tot
0	9.322601	-1.181661	-14.936406	-0.048445	0.034621	-0.025421	7.690960000000004	3.8301710000000213	9.378928999999992	11.7577794530402	8.929311324704841
1	9.322601	-1.181661	-14.936406	-0.048445	0.034621	-0.025421	7.690960000000004	3.8301710000000213	9.378928999999992	11.7577794530402	8.929311324704841
2	9.322601	-1.181661	-14.936406	-0.048445	0.034621	-0.025421	7.690960000000004	3.8301710000000213	9.378928999999992	11.7577794530402	8.929311324704841
3	9.322601	-1.181661	-14.936406	-0.048445	0.034621	-0.025421	7.690960000000004	3.8301710000000213	9.378928999999992	11.7577794530402	8.929311324704841
4	9.322601	-1.181661	-14.936406	-0.048445	0.034621	-0.025421	7.690960000000004	3.8301710000000213	9.378928999999992	11.7577794530402	8.929311324704841
5	10.57766	-2.856959	-15.534296	-0.045383	0.038608	-0.032274	8.484115000000003	4.716571000000002	9.891084999999997	12.409444892758941	9.723733120113398
6	8.523765	-3.287262	-11.180446	-0.02868	0.032719	-0.024549	6.9053909999999945	4.112000000000009	7.021532000000008	9.599063786520542	7.520345127107079
7	9.605752	-3.179341	-12.568259	-0.033237	0.03458	-0.0293	7.787973999999991	4.112170999999989	8.016760999999995	10.917854459476043	8.318242725023465
8	8.288913	-2.407063	-11.029063	-0.028998	0.033624	-0.022968	6.8813710000000015	3.3946729999999974	6.819893	9.448643996344355	7.050049952242966
9	8.310869	-1.925268	-11.398827	-0.040702	0.02636	-0.028006	6.530196000000004	3.629156000000009	6.9766110000000054	9.258851528013656	6.810419761853032
10	8.26012	-3.193205	-9.7334	-0.038122	0.018811	-0.034756	6.177078999999992	4.156600000000012	6.020393999999996	8.487493895390612	6.154162567051777
11	10.791133	-5.748979	-8.395185	-0.038105	0.012921	-0.050271	7.719565999999986	5.706517000000005	5.147925000000001	9.615188957180926	6.957940115091755
12	-7.89423	9.690815	-0.017988	-0.013059	-0.009005	0.041357	5.75215	7.011027999999996	1.0743590000000012	8.286670119625493	6.3202135259855705
13	-1.194901	4.111103	-5.132572	-0.019073	0.001559	0.009429	0.7947710000000114	3.4845169999999968	4.011936000000006	5.183529575387412	3.96146514704295
14	0.589045	2.222718	-4.044453	-0.007094	0.007981	0.00378	1.107292000000001	1.9778850000000006	3.0488349999999897	3.627218098600914	3.094577001586641
15	0.106099	3.277235	-4.061553	-0.002669	0.011482	0.0101	1.4995640000000066	2.6503190000000103	3.1671829999999943	4.206025209982815	3.569003290564192
16	-1.465281	4.27051	-2.614238	0.008074	0.01305	0.021169	1.556242999999995	3.5888780000000082	2.8298739999999967	4.493237075148598	3.4688570261861544
17	-3.337624	4.727035	0.013159	0.017125	0.00768	0.028559	2.3658510000000064	4.251586000000003	1.843168999999996	4.580675805028012	3.1518887276833727
18	-5.031043	5.464201	1.652952	0.021462	0.002085	0.033983	3.4733209999999985	4.967219	1.3205540000000013	5.498137163628523	3.773407406385105
19	-3.464839	4.060686	0.777292	0.012447	-0.001642	0.021768	2.3574689999999947	3.649934000000016	1.2339210000000023	3.9453856994541074	2.9571198409016226
20	-2.32274	3.21395	0.019281	0.004199	-0.004592	0.012145	1.699399999999983	2.7899519999999995	1.1128579999999957	2.9973708572061866	2.5908207516536867
21	1.947885	0.927716	-3.56199	-0.028456	-0.010862	-0.018375	1.6614840000000015	3.322162000000006	3.186197000000007	4.407214637964663	2.4826338467591325
22	-0.442508	1.259641	0.390462	-0.007524	-0.016265	-0.005933	1.2820559999999972	2.0364589999999936	1.151872000000001	2.4834081597155975	1.6552541096816502
23	-0.975657	0.541648	2.608412	0.001233	-0.020676	-0.006227	1.8694320000000033	1.4398299999999864	1.751776	2.3686240538973196	1.5461875795250317
24	0.057064	-0.947274	2.840849	0.005852	-0.019287	-0.012405	1.7196520000000106	1.0633090000000038	1.2374550000000042	1.7435440695147437	0.9738881221846469
25	0.837314	-1.19363	1.296056	-0.002258	-0.020523	-0.016858	1.5680389999999989	1.5847800000000092	1.893217	2.509856509342522	0.8658134994409861
26	0.17247	-0.875189	1.774139	0.002164	-0.019622	-0.012485	1.6017399999999924	1.210991000000007	1.6801039999999996	2.2455278372066436	0.8120651036105485
27	-4.147421	2.363014	0.482291	-0.008692	-0.025434	0.00403	3.9701169999999877	2.1111990000000134	2.3500310000000013	4.804824420424324	3.3348234478150998
28	-5.73983	3.268177	4.525489	0.011617	-0.023857	0.016359	4.916122000000001	3.1256369999999833	2.1430580000000035	5.527154265760091	4.004021818737931
29	-7.452434	5.412158	3.016073	0.009873	-0.019453	0.030685	6.182017999999999	4.270645999999999	1.0469200000000072	6.422485339491323	4.6889044767058525
30	-10.008508	7.010252	7.39203	0.026057	-0.025156	0.043528	8.588311000000019	6.211638000000008	4.571704	10.343423469931274	6.676087233890435
31	-11.06272	7.371368	8.993269	0.036133	-0.023835	0.050037	8.637681	6.904714999999996	5.188632999999996	10.284813641762929	7.442321901304779
32	-11.480171	7.47406	9.426031	0.034245	-0.029273	0.048199	10.18293	6.952771999999996	8.118251	14.70477408591159	7.819969479125764
