frame_start	frame_end	highbinding	left_cerebral_white_matter	left_cerebellum_white_matter	left_cerebellum_cortex	left_thalamus	left_caudate	left_putamen	left_pallidum	brain_stem	left_hippocampus	left_amygdala	csf	left_accumbens_area	left_ventraldc	left_choroid_plexus	right_cerebral_white_matter	right_cerebellum_white_matter	right_cerebellum_cortex	right_thalamus	right_caudate	right_putamen	right_pallidum	right_hippocampus	right_amygdala	right_accumbens_area	right_ventraldc	right_choroid_plexus	aircavity	skull	vermis	pons	csf_extracerebral	head_extracerebral	ctx_lh_bankssts	ctx_lh_caudalanteriorcingulate	ctx_lh_caudalmiddlefrontal	ctx_lh_cuneus	ctx_lh_entorhinal	ctx_lh_fusiform	ctx_lh_inferiorparietal	ctx_lh_inferiortemporal	ctx_lh_isthmuscingulate	ctx_lh_lateraloccipital	ctx_lh_lateralorbitofrontal	ctx_lh_lingual	ctx_lh_medialorbitofrontal	ctx_lh_middletemporal	ctx_lh_parahippocampal	ctx_lh_paracentral	ctx_lh_parsopercularis	ctx_lh_parsorbitalis	ctx_lh_parstriangularis	ctx_lh_pericalcarine	ctx_lh_postcentral	ctx_lh_posteriorcingulate	ctx_lh_precentral	ctx_lh_precuneus	ctx_lh_rostralanteriorcingulate	ctx_lh_rostralmiddlefrontal	ctx_lh_superiorfrontal	ctx_lh_superiorparietal	ctx_lh_superiortemporal	ctx_lh_supramarginal	ctx_lh_frontalpole	ctx_lh_temporalpole	ctx_lh_transversetemporal	ctx_lh_insula	ctx_rh_bankssts	ctx_rh_caudalanteriorcingulate	ctx_rh_caudalmiddlefrontal	ctx_rh_cuneus	ctx_rh_entorhinal	ctx_rh_fusiform	ctx_rh_inferiorparietal	ctx_rh_inferiortemporal	ctx_rh_isthmuscingulate	ctx_rh_lateraloccipital	ctx_rh_lateralorbitofrontal	ctx_rh_lingual	ctx_rh_medialorbitofrontal	ctx_rh_middletemporal	ctx_rh_parahippocampal	ctx_rh_paracentral	ctx_rh_parsopercularis	ctx_rh_parsorbitalis	ctx_rh_parstriangularis	ctx_rh_pericalcarine	ctx_rh_postcentral	ctx_rh_posteriorcingulate	ctx_rh_precentral	ctx_rh_precuneus	ctx_rh_rostralanteriorcingulate	ctx_rh_rostralmiddlefrontal	ctx_rh_superiorfrontal	ctx_rh_superiorparietal	ctx_rh_superiortemporal	ctx_rh_supramarginal	ctx_rh_frontalpole	ctx_rh_temporalpole	ctx_rh_transversetemporal	ctx_rh_insula	reference
0	30	77.20487976074219	69.33450317382812	52.681396484375	55.60774993896484	86.50217437744141	66.64588928222656	67.92642974853516	51.90245819091797	110.5591049194336	171.2173309326172	154.4028015136719	59.47808074951172	16.18986892700195	78.61259460449219	41.69869613647461	60.53668975830078	89.06127166748047	85.57976531982422	92.82514953613281	52.36300659179688	51.05662155151367	16.4661808013916	121.0814666748047	78.72661590576172	124.0137176513672	132.4082946777344	91.13761138916016	42.49860382080078	38.87828826904297	52.05118560791016	78.41576385498047	82.02290344238281	38.82155609130859	88.31392669677734	92.46070098876953	86.5062255859375	70.54928588867188	133.6260681152344	72.62746429443359	74.6072998046875	78.487060546875	98.44712829589844	71.38288879394531	140.8598327636719	70.59398651123047	115.5461273193359	62.31471252441406	108.1091690063477	77.44120025634766	97.62872314453125	134.8347473144531	131.5952301025391	112.60009765625	74.43083953857422	94.85394287109375	93.34758758544922	78.57315826416016	121.8081741333008	91.32174682617188	76.03297424316406	64.23900604248047	122.0118865966797	72.73760223388672	94.23777770996094	58.5853385925293	131.0151824951172	195.2361145019531	127.1450653076172	99.19446563720703	64.97906494140625	45.07562637329102	103.256950378418	104.9365921020508	56.51134872436523	89.86376953125	38.00170516967773	61.9632568359375	98.08193206787109	88.79988098144531	83.71141815185547	114.9547576904297	123.0610885620117	57.20927429199219	100.2865447998047	162.2939758300781	89.47249603271484	45.69697952270508	83.81850433349609	56.41761016845703	72.82978057861328	92.94309234619141	129.1643218994141	74.12247467041016	82.32853698730469	66.94992065429688	118.4951858520508	80.38803863525391	112.7235260009766	70.88597869873047	136.6783294677734	156.2007751464844	69.72626113891602
30	60	4095.165771484375	2453.630126953125	2529.74853515625	3565.570556640625	3590.095947265625	2868.28466796875	3643.543701171875	2792.280029296875	2620.3330078125	3233.577880859375	2771.960205078125	2242.98828125	4430.0126953125	3114.267822265625	2501.421630859375	2382.41162109375	2622.38330078125	3449.080078125	3600.152587890625	3257.837646484375	3789.3671875	2974.37939453125	2738.605224609375	2399.531494140625	3956.286376953125	3054.076416015625	2683.5126953125	962.0248413085938	1148.747924804688	3381.642333984375	3064.470703125	3525.812255859375	1185.5380859375	3252.976806640625	4165.470703125	3500.69091796875	4338.68505859375	3503.605712890625	3554.3583984375	3118.277099609375	3051.7060546875	3731.140869140625	3638.50244140625	3946.541015625	4198.875	3722.8466796875	3197.77880859375	3761.849609375	3749.572021484375	4125.904296875	3972.09619140625	3817.506591796875	4415.650390625	3530.90673828125	3813.951904296875	3661.340576171875	3583.48583984375	3809.20458984375	3773.048095703125	3704.7587890625	3131.787841796875	3414.028564453125	3291.740234375	3805.096923828125	2350.08056640625	4683.9072265625	4188.9111328125	3906.647705078125	3677.33349609375	3651.869384765625	4291.37548828125	3466.1328125	3160.830810546875	3035.008544921875	2934.011962890625	4715.5693359375	3466.909912109375	3798.547119140625	4232.21826171875	4003.395751953125	3174.499755859375	3761.8154296875	3248.955322265625	4023.1220703125	4099.46484375	3955.103759765625	3749.972412109375	3384.6328125	3791.42138671875	3276.388916015625	3643.692138671875	4475.59521484375	3811.064697265625	3601.47119140625	2879.802001953125	3397.627685546875	3348.98828125	3667.66357421875	3051.925537109375	4608.06201171875	4010.7685546875	3722.806518554688
60	90	10569.3857421875	5973.3671875	6767.544921875	9146.9013671875	8921.7802734375	7832.5986328125	9346.73046875	6798.6962890625	6455.21630859375	6942.94482421875	6679.0673828125	5425.990234375	7424.2841796875	7163.4140625	7718.0908203125	5974.5029296875	6450.50244140625	8806.7041015625	8603.587890625	8315.421875	9467.53125	7012.22216796875	6828.03564453125	5992.3408203125	9416.552734375	7207.72900390625	7386.38525390625	2046.694946289062	2572.024658203125	8773.2978515625	7625.72265625	7545.22412109375	2642.540771484375	8491.50390625	7950.79443359375	8737.21484375	10192.4599609375	7122.84423828125	8019.833984375	7958.435546875	7402.27783203125	9241.583984375	8898.3203125	8481.31640625	9497.0458984375	8931.3046875	7796.74267578125	7734.66552734375	8831.7314453125	9070.419921875	7992.25341796875	9216.900390625	10505.16796875	8803.2353515625	9274.158203125	8566.8681640625	9097.2158203125	8023.86572265625	9174.365234375	8771.6962890625	7942.31884765625	7903.33447265625	8497.927734375	8844.12890625	6195.900390625	9931.4189453125	9377.505859375	9123.408203125	9088.677734375	9090.7841796875	9845.921875	7143.08154296875	7717.81689453125	7739.38427734375	7686.29541015625	8915.6396484375	8609.8173828125	8608.27734375	9034.544921875	9361.9990234375	7450.5517578125	7830.75439453125	8133.58837890625	9412.330078125	8123.40625	9052.8681640625	9650.599609375	8468.98046875	8965.5849609375	8256.56640625	9021.5498046875	9173.91796875	9235.599609375	8905.2685546875	7626.6181640625	7649.80712890625	8222.41796875	8851.865234375	6922.42041015625	10261.689453125	9036.115234375	9754.29833984375
90	120	12699.73828125	7477.869140625	8662.724609375	11197.0712890625	10352.056640625	9658.9375	11268.9853515625	9521.728515625	7218.89599609375	8314.9677734375	7966.08447265625	6275.45751953125	11891.8955078125	8350.900390625	8352.2138671875	7356.0048828125	7985.0634765625	10884.8408203125	11057.9697265625	9192.9326171875	11826.046875	7910.44384765625	7691.6083984375	7179.81787109375	11389.78515625	8206.4833984375	8261.015625	2116.948974609375	2840.158935546875	10723.685546875	8589.6630859375	8180.1572265625	2966.940673828125	10872.130859375	9591.6494140625	11117.705078125	12928.1767578125	8700.046875	9726.853515625	9768.90234375	9035.376953125	11089.189453125	10447.1123046875	10284.6328125	11080.921875	10371.1962890625	9498.2470703125	9128.326171875	10408.2998046875	11425.3095703125	10312.1748046875	11062.3681640625	12982.376953125	10300.6123046875	10885.4423828125	10460.66796875	10963.6279296875	9375.775390625	11089.845703125	10426.263671875	9201.3232421875	9510.037109375	10117.29296875	11502.716796875	7120.2080078125	12829.97265625	9952.1123046875	9714.6796875	10304.390625	11114.876953125	11111.19140625	8659.87890625	9219.7412109375	9828.5009765625	8866.7001953125	11585.5654296875	10376.10546875	10151.404296875	10867.826171875	10549.419921875	9098.4169921875	9183.2998046875	10206.8203125	10737.52734375	10269.921875	11260.875	12335.3408203125	9610.0625	11025.7626953125	10164.1552734375	10646.1708984375	10832.3720703125	11447.95703125	10753.95703125	9230.146484375	9248.1337890625	9909.693359375	10907.3271484375	7707.41015625	11761.2119140625	9967.2548828125	12125.90283203125
120	150	13351.763671875	7659.013671875	8488.7216796875	11182.1767578125	10752.533203125	10073.755859375	12851.3525390625	10222.8798828125	7505.84521484375	8527.900390625	7273.65185546875	6306.55322265625	10985.7724609375	8055.40576171875	8215.9736328125	7501.4326171875	8644.1455078125	10830.20703125	10480.189453125	10374.5205078125	11451.8818359375	8406.7998046875	8143.478515625	7381.8955078125	10253.017578125	8337.03125	9050.974609375	2017.174926757812	2823.40673828125	10121.2607421875	9240.677734375	7896.208984375	2993.639404296875	10537.7587890625	9212.97265625	10935.7724609375	12404.8251953125	8475.3271484375	10063.806640625	10090.8515625	9594.76953125	9404.2001953125	10322.404296875	10439.6982421875	11170.103515625	10908.6708984375	9788.51953125	9508.9677734375	10057.4765625	11132.7998046875	10464.474609375	10871.9072265625	12339.884765625	10458.2041015625	10996.2763671875	11006.3623046875	10863.517578125	9349.1416015625	11528.509765625	10593.7138671875	9610.2294921875	9489.1015625	10481.7490234375	10681.3818359375	7252.48974609375	12661.3427734375	9996.6005859375	10785.8984375	10767.2294921875	11212.1259765625	11638.037109375	8402.4248046875	9294.453125	9783.2431640625	8923.634765625	10691.58203125	10412.6513671875	10532.1572265625	10525.505859375	10680.0927734375	9522.2734375	8309.9677734375	10057.0751953125	11450.404296875	10573.29296875	11197.474609375	12592.3173828125	9798.75	11462.451171875	10209.65234375	10812.900390625	11048.6767578125	11469.3876953125	10703.15625	9755.3896484375	9134.310546875	9838.8623046875	10937.7509765625	7271.20654296875	11301.3642578125	10019.501953125	12117.61279296875
150	180	13092.9501953125	7598.8974609375	8642.6884765625	11199.7216796875	10439.533203125	10040.80078125	11619.2451171875	10016.5908203125	7364.98974609375	8462.8291015625	7962.8515625	6154.17236328125	10121.7841796875	8077.54248046875	7740.97265625	7485.7451171875	8473.6572265625	10899.7734375	11013.7060546875	9548.234375	12403.6181640625	8127.19775390625	7141.49755859375	6297.3876953125	10234.751953125	8350.3388671875	8107.46044921875	2038.365112304688	2790.841064453125	11029.0185546875	9268.7236328125	7644.89013671875	2964.83349609375	10108.8876953125	9194.42578125	10161.359375	12050.953125	8785.10546875	9898.8642578125	9670.388671875	9601.380859375	10356.3212890625	10451.3037109375	10160.8759765625	10975.2080078125	10455.26171875	9459.421875	9210.111328125	9914.8779296875	10793.66796875	10480.115234375	10885.3876953125	12797.8857421875	10227.0634765625	11555.7216796875	10630.291015625	10793.64453125	8886.296875	11177.7333984375	10605.3916015625	9465.330078125	9630.8037109375	10167.5703125	11192.302734375	7585.546875	11731.935546875	9864.2119140625	9856.37890625	10564.94921875	11292.0517578125	11037.6328125	7747.81640625	9460.580078125	9686.77734375	9209.1953125	10448.0771484375	10298.7294921875	9894.4765625	10499.962890625	10683.6162109375	9337.3935546875	8968.845703125	10133.849609375	10522.1103515625	10174.48046875	10992.9443359375	11910.2919921875	9866.3076171875	11628.0634765625	10275.720703125	10941.0009765625	10151.021484375	11505.6220703125	10643.87890625	9473.3974609375	9314.6650390625	10073.2265625	10554.60546875	7504.44970703125	11039.3564453125	9901.3564453125	12182.4599609375
180	240	12840.4736328125	7463.1083984375	8426.248046875	10911.4716796875	10321.8095703125	9732.59375	11682.990234375	9560.52734375	7420.134765625	8306.9833984375	8059.060546875	6113.7939453125	9972.58203125	8289.58984375	8533.5576171875	7364.18896484375	8590.7919921875	10483.2880859375	10852.6162109375	9698.099609375	11579.0302734375	8394.1669921875	8527.1279296875	7569.77099609375	9037.5947265625	8660.7255859375	8833.357421875	1965.277587890625	2743.499755859375	10737.1748046875	8791.41796875	7348.62939453125	2982.92529296875	9679.4697265625	9609.6416015625	10668.505859375	12005.18359375	8132.3232421875	9725.3173828125	9299.4970703125	9323.578125	9653.3203125	10029.58203125	10232.52734375	10590.244140625	10309.62890625	9288.33984375	9439.595703125	9984.6171875	10280.7490234375	10594.1865234375	10258.2275390625	12403.564453125	10086.9892578125	11202.5302734375	10206.9111328125	10542.806640625	9324.92578125	10863.6162109375	10149.8818359375	9149.158203125	9101.8388671875	9905.1884765625	10385.1884765625	7378.654296875	11643.9638671875	9832.06640625	9898.0478515625	10388.2841796875	10947.7001953125	10763.1494140625	7541.25927734375	9080.4384765625	9176.662109375	8746.8046875	10373.8095703125	10032.673828125	10123.05859375	10090.4814453125	10525.74609375	8854.3349609375	8377.6552734375	10194.5439453125	10767.9716796875	10390.498046875	10508.0205078125	11355.8876953125	9306.9609375	10742.666015625	9940.5703125	10530.7744140625	10279.0849609375	10926.361328125	10204.3017578125	9111.2587890625	9132.205078125	9678.2451171875	10652.5791015625	7576.0185546875	11395.9130859375	9362.33203125	11778.21923828125
240	300	12523.537109375	7285.2958984375	8411.8203125	10336.353515625	10320.99609375	9677.578125	11283.3876953125	8977.412109375	7284.21826171875	8432.998046875	7704.32763671875	5896.63232421875	10154.8779296875	7708.59375	9343.0654296875	7221.6796875	8054.30615234375	10068.625	10555.40625	9365.0703125	11260.9990234375	8432.6201171875	8146.14990234375	6963.52880859375	9644.7412109375	8605.4921875	8728.1923828125	2022.512573242188	2709.60400390625	10069.02734375	8248.7734375	6988.00048828125	2987.162353515625	9840.3125	8793.4482421875	9920.638671875	11182.927734375	7732.654296875	9252.21484375	9035.958984375	9048.2373046875	9361.9267578125	9664.9892578125	9425.1826171875	10118.3740234375	9376.2158203125	8820.9814453125	8671.4453125	9412.84765625	10177.1171875	9842.16015625	9675.4013671875	11906.1259765625	9658.369140625	10155.3564453125	9928.6708984375	9861.9765625	8512.6396484375	10412.345703125	9730.19921875	8973.4951171875	8929.0068359375	9551.48046875	10249.662109375	7044.41162109375	11145.869140625	9655.4052734375	9471.9501953125	10124.2158203125	10188.974609375	10287.37890625	7429.38037109375	8544.6044921875	9164.908203125	8640.57421875	9374.59765625	9664.5771484375	9231.7490234375	10098.34375	9983.091796875	8681.373046875	8283.50390625	9138.8515625	10280.85546875	9779.9208984375	9828.888671875	11437.5478515625	9162.5615234375	10851.2958984375	9433.966796875	10242.5078125	9873.55859375	10454.43359375	9806.4931640625	8803.259765625	8488.119140625	9135.20703125	9970.73828125	6941.8759765625	10554.01953125	9044.7060546875	11217.62646484375
300	360	11948.21484375	7154.67236328125	8178.779296875	9937.283203125	10243.2626953125	9214.5849609375	10848.0107421875	8765.5546875	6829.009765625	8287.3779296875	7041.50732421875	5902.87158203125	10045.470703125	8113.978515625	9027.2451171875	6985.47509765625	7812.57861328125	9803.3076171875	9999.033203125	9118.0830078125	10821.396484375	8682.611328125	8020.16845703125	7067.75830078125	10222.982421875	8106.99609375	8770.6044921875	1878.887939453125	2704.85693359375	9914.7587890625	8441.6240234375	6637.353515625	2989.790283203125	9660.5087890625	7977.775390625	9347.26171875	10661.5693359375	7440.71630859375	9319.61328125	8556.619140625	8288.8544921875	9125.501953125	9352.55859375	9128.0087890625	9910.572265625	9284.640625	8770.0947265625	8984.5380859375	8878.08203125	9361.6826171875	9203.939453125	9782.1943359375	11237.9716796875	9186.20703125	9644.3486328125	9552.0244140625	9330.56640625	8566.1025390625	9919.1650390625	9381.142578125	8416.330078125	8668.70703125	9258.09375	9353.6533203125	7431.00537109375	10377.5361328125	9049.2919921875	9497.1650390625	8745.8916015625	9351.80078125	9948.12890625	7004.9228515625	8372.58203125	8496.2158203125	8352.017578125	9657.8203125	9176.732421875	9098.2412109375	9337.55859375	9480.015625	8461.140625	8283.353515625	9163.4287109375	9975.890625	8773.2451171875	9497.2724609375	10724.6611328125	8631.64453125	9595.451171875	8894.12890625	9741.5830078125	9680.9697265625	10001.15625	9189.8505859375	8313.4775390625	8390.89453125	8813.06640625	9454.333984375	7617.86181640625	9981.142578125	8970.5546875	10853.58203125
360	480	11288.78515625	6943.76806640625	7999.83935546875	9465.4306640625	9849.05859375	8534.8115234375	10526.740234375	8929.724609375	7078.84814453125	8275.0966796875	7056.78955078125	5902.58349609375	9755.2666015625	7921.4306640625	9504.0947265625	6850.861328125	7999.234375	9267.30078125	9788.150390625	8421.74609375	10450.302734375	8277.2607421875	8243.2138671875	7131.9091796875	8822.6796875	8345.052734375	8737.689453125	1892.676635742188	2713.8525390625	9212.53515625	8212.75390625	6299.29736328125	3040.157470703125	8922.8916015625	8250.2255859375	9194.0263671875	10173.3046875	8070.17919921875	8602.0205078125	8042.271484375	8184.150390625	8637.1982421875	8801.0146484375	8817.68359375	9382.859375	9076.7158203125	8238.2890625	8296.6669921875	8288.5400390625	9148.3955078125	8738.9150390625	8927.224609375	10589.037109375	8663.208984375	9254.8037109375	9087.15625	8974.525390625	8273.697265625	9250.322265625	8779.732421875	7970.07958984375	8357.001953125	8613.7158203125	9205.583984375	6704.49658203125	10208.4189453125	8836.7734375	8884.3447265625	8992.462890625	8991.740234375	9371.4072265625	7167.48095703125	8156.650390625	8185.310546875	8046.5908203125	8625.1474609375	8710.701171875	8759.1669921875	9118.7802734375	9087.162109375	8144.80029296875	8092.40185546875	8721.8408203125	9351.76171875	8339.169921875	8960.392578125	10132.3408203125	8177.4521484375	9289.349609375	8455.8564453125	8784.0634765625	9458.0673828125	9495.3427734375	8772.1904296875	7880.9619140625	8030.05810546875	8370.4140625	9041.9833984375	6752.5673828125	9517.93359375	8770.1220703125	10248.4296875
