frame_start	frame_end	highbinding	left_cerebral_white_matter	left_cerebellum_white_matter	left_cerebellum_cortex	left_thalamus	left_caudate	left_putamen	left_pallidum	brain_stem	left_hippocampus	left_amygdala	csf	left_accumbens_area	left_ventraldc	left_choroid_plexus	right_cerebral_white_matter	right_cerebellum_white_matter	right_cerebellum_cortex	right_thalamus	right_caudate	right_putamen	right_pallidum	right_hippocampus	right_amygdala	right_accumbens_area	right_ventraldc	right_choroid_plexus	aircavity	skull	vermis	pons	csf_extracerebral	head_extracerebral	ctx_lh_bankssts	ctx_lh_caudalanteriorcingulate	ctx_lh_caudalmiddlefrontal	ctx_lh_cuneus	ctx_lh_entorhinal	ctx_lh_fusiform	ctx_lh_inferiorparietal	ctx_lh_inferiortemporal	ctx_lh_isthmuscingulate	ctx_lh_lateraloccipital	ctx_lh_lateralorbitofrontal	ctx_lh_lingual	ctx_lh_medialorbitofrontal	ctx_lh_middletemporal	ctx_lh_parahippocampal	ctx_lh_paracentral	ctx_lh_parsopercularis	ctx_lh_parsorbitalis	ctx_lh_parstriangularis	ctx_lh_pericalcarine	ctx_lh_postcentral	ctx_lh_posteriorcingulate	ctx_lh_precentral	ctx_lh_precuneus	ctx_lh_rostralanteriorcingulate	ctx_lh_rostralmiddlefrontal	ctx_lh_superiorfrontal	ctx_lh_superiorparietal	ctx_lh_superiortemporal	ctx_lh_supramarginal	ctx_lh_frontalpole	ctx_lh_temporalpole	ctx_lh_transversetemporal	ctx_lh_insula	ctx_rh_bankssts	ctx_rh_caudalanteriorcingulate	ctx_rh_caudalmiddlefrontal	ctx_rh_cuneus	ctx_rh_entorhinal	ctx_rh_fusiform	ctx_rh_inferiorparietal	ctx_rh_inferiortemporal	ctx_rh_isthmuscingulate	ctx_rh_lateraloccipital	ctx_rh_lateralorbitofrontal	ctx_rh_lingual	ctx_rh_medialorbitofrontal	ctx_rh_middletemporal	ctx_rh_parahippocampal	ctx_rh_paracentral	ctx_rh_parsopercularis	ctx_rh_parsorbitalis	ctx_rh_parstriangularis	ctx_rh_pericalcarine	ctx_rh_postcentral	ctx_rh_posteriorcingulate	ctx_rh_precentral	ctx_rh_precuneus	ctx_rh_rostralanteriorcingulate	ctx_rh_rostralmiddlefrontal	ctx_rh_superiorfrontal	ctx_rh_superiorparietal	ctx_rh_superiortemporal	ctx_rh_supramarginal	ctx_rh_frontalpole	ctx_rh_temporalpole	ctx_rh_transversetemporal	ctx_rh_insula	reference
0	30	1841.63427734375	1166.603515625	1103.801391601562	1610.77294921875	1551.945434570312	1447.258056640625	1829.865112304688	1532.386352539062	1468.053100585938	1833.327758789062	1620.850708007812	1006.922119140625	1253.760009765625	1937.392456054688	1006.228637695312	1181.627197265625	1263.94091796875	1758.272827148438	1717.191772460938	1292.959716796875	1483.312744140625	1331.841064453125	1941.734741210938	1946.408325195312	1151.0302734375	1593.221557617188	1334.336547851562	1195.47412109375	655.1578979492188	1591.0546875	1369.10009765625	2091.100341796875	551.2159423828125	1509.076904296875	1893.756591796875	1902.989013671875	1982.873901367188	1669.207153320312	1633.860717773438	1787.124145507812	1677.572265625	2096.746337890625	1466.091064453125	2047.720092773438	2026.24072265625	2087.422119140625	1569.9248046875	1809.95751953125	1770.7138671875	2154.547119140625	2106.365966796875	2003.914428710938	1729.936157226562	1648.927001953125	1787.733276367188	1824.380249023438	1786.060791015625	2280.61669921875	1862.85009765625	1770.131103515625	1629.205932617188	1887.00341796875	2149.773681640625	2194.185546875	1542.451049804688	3193.225341796875	2552.063232421875	1517.738525390625	2526.733154296875	1845.762573242188	1973.87841796875	2356.02880859375	1721.825439453125	1649.181518554688	1763.95556640625	2352.253173828125	1708.317016601562	2036.475708007812	1898.724853515625	2154.995849609375	1582.241821289062	1877.616943359375	1725.416381835938	2022.160766601562	1875.960327148438	1921.434692382812	1782.577514648438	1801.478515625	2182.43798828125	1673.696044921875	1833.150024414062	3059.24267578125	1757.645263671875	1943.844970703125	1513.999267578125	2173.40576171875	1778.2451171875	1535.810546875	1860.664428710938	2912.53125	2410.84130859375	1749.044860839844
30	60	11773.9287109375	7243.50732421875	7662.04443359375	10454.802734375	10425.984375	8966.203125	11406.36328125	8595.96875	8642.0537109375	9771.220703125	9464.8037109375	6391.94189453125	8927.7265625	9296.533203125	6891.95166015625	7225.4541015625	7701.6650390625	11395.6318359375	10351.119140625	8511.009765625	9893.392578125	6898.22216796875	9790.6748046875	9428.556640625	11447.2626953125	9385.67578125	7901.2626953125	6414.30859375	3989.779296875	10441.4658203125	8554.375	11225.107421875	3107.98681640625	10093.9765625	11707.341796875	10962.0107421875	13546.4921875	9185.015625	9988.640625	10243.841796875	10473.439453125	12605.607421875	9833.8056640625	11550.1689453125	11781.212890625	11297.9248046875	9735.962890625	10512.916015625	9485.8955078125	11529.4296875	10321.8623046875	11174.1787109375	12453.3359375	10380.4970703125	10700.9697265625	10321.8837890625	11309.642578125	10373.3212890625	11221.5048828125	10856.4423828125	9713.7548828125	10268.1689453125	10594.3662109375	11951.3720703125	8832.6533203125	13405.51953125	11865.0625	10139.4462890625	11069.98828125	10946.6865234375	12289.4970703125	11198.1240234375	9352.091796875	10174.77734375	10389.1484375	12365.71484375	10770.4423828125	10906.8408203125	11735.75390625	12423.5166015625	9930.9248046875	10119.931640625	10557.6025390625	11138.7294921875	10683.3740234375	11026.708984375	11937.462890625	10859.0576171875	12798.9453125	10245.546875	10637.12890625	12589.15234375	11223.9375	11345.4931640625	9716.7265625	11659.2001953125	10052.453125	10682.1767578125	10977.484375	14247.3583984375	10857.6552734375	11637.31494140625
60	90	19835.380859375	12321.85546875	13357.6796875	17454.017578125	17297.962890625	14354.978515625	19074.140625	14660.029296875	12851.62890625	15277.236328125	12919.3916015625	9812.0263671875	17261.75	14706.0771484375	11327.685546875	12241.947265625	13124.87890625	18208.255859375	16854.142578125	14288.578125	17884.451171875	13866.90625	14431.2734375	12416.5849609375	17639.69921875	14355.5400390625	12441.0322265625	8803.7919921875	6327.7119140625	18387.576171875	14452.7578125	16015.0205078125	4959.86181640625	17209.548828125	16403.892578125	18864.001953125	21370.59765625	12457.2470703125	16168.5048828125	17180.548828125	17148.84375	18994.3515625	17177.4921875	17617.267578125	20025.986328125	17825.748046875	16954.2421875	14197.638671875	17212.6171875	18251.85546875	18324.689453125	18261.46875	22303.376953125	17233.21875	18996.85546875	17701.279296875	18965.74609375	16402.009765625	19467.849609375	18160.51171875	17106.546875	16745.251953125	17645.5234375	20402.349609375	14839.7705078125	22181.982421875	16995.802734375	17849.32421875	15576.060546875	17763.9765625	21202.169921875	16143.953125	15789.14453125	17400.744140625	17025.38671875	19786.00390625	18898.998046875	17594.09375	19678.68359375	18521.89453125	16048.671875	14488.541015625	17269.42578125	17521.810546875	18159.703125	18132.376953125	19939.638671875	17276.283203125	20034	17014.833984375	18388.111328125	17273.625	18860.923828125	18509.3046875	16311.447265625	17293.08203125	16654.99609375	18097.68359375	16853.87890625	22577.822265625	16641.1796875	19143.94140625
90	120	20786.80078125	12664.6787109375	13260.525390625	17163.078125	17421.248046875	15223.1279296875	19047.376953125	13943.2001953125	12364.642578125	15273.4443359375	14142.2216796875	9592.078125	16837.287109375	14656.427734375	11465.5791015625	12571.3642578125	13763.7587890625	17578.080078125	17722.53125	14796.9638671875	19081.5546875	14191.7509765625	14249.1005859375	12370.6357421875	16999.154296875	14663.6513671875	12174.9677734375	7324.068359375	6012.798828125	17281.537109375	14911.0986328125	13889.16796875	4756.38671875	18409.046875	18002.0859375	19586.408203125	21351.98046875	13169.0322265625	16240.392578125	17912.46875	16622.1328125	19745.0546875	17613.7890625	17419.328125	19922.736328125	17636.048828125	17599.078125	14011.7109375	17017.1328125	18388.359375	18232.771484375	19457.919921875	22421.705078125	16937.73046875	18911.556640625	17844.587890625	18936.421875	16536.7421875	19827.353515625	18261.859375	16537.58203125	16643.048828125	17861.76953125	17935.88671875	14479.7197265625	22198.552734375	17197.16796875	17645.509765625	15817.318359375	19274.361328125	22068.099609375	14898.234375	15795.1064453125	17434.556640625	15997.5849609375	19006.1640625	18891.41015625	16678.67578125	20341.466796875	18988.91015625	15923.619140625	15380.060546875	16331.54296875	17870.111328125	19296.103515625	18091.060546875	21178.3984375	17462.6328125	19287.939453125	17208.49609375	18182.900390625	16771.83984375	19590.66796875	18370.4609375	16502.435546875	16840.455078125	17390.68359375	18848.0703125	13956.7177734375	20821.8828125	16241.4951171875	18774.3369140625
120	150	20221.953125	12444.14453125	12803.88671875	16644.52734375	18318.82421875	14192.166015625	18947.6171875	14439.849609375	12363.6572265625	14619.591796875	13548.23046875	8867.8154296875	16046.724609375	14086.7431640625	10159.9326171875	12438.1572265625	13079.9638671875	17098.173828125	17281.005859375	13606.5576171875	18506.208984375	14138.7939453125	13802.384765625	11911.798828125	16515.96875	14220.078125	11521.732421875	6659.43115234375	5833.5458984375	17092.548828125	14524.42578125	13260.236328125	4790.7099609375	16887.94921875	17678.49609375	18180.173828125	20586.15625	12779.7412109375	15486.001953125	17009.640625	16480.685546875	18888.373046875	17411.0546875	17384.712890625	20035.916015625	17441.2890625	16750.966796875	14709.3115234375	16978.513671875	18287.85546875	18802.5078125	18730.279296875	21831.66015625	16702.716796875	17607.484375	18041.5703125	18795.470703125	16178.6162109375	19470.630859375	17994.572265625	16327.634765625	16257.6201171875	17789.19140625	18982.431640625	14981.51953125	19896.392578125	15782.2978515625	18196.7734375	15015.1513671875	17634.7265625	20156.509765625	12682.787109375	15620.2265625	17537.625	15836.9921875	18601.59375	18837.138671875	16187.7822265625	19586.310546875	18317.421875	15761.435546875	14220.1181640625	16579.474609375	17489.73046875	18417.546875	17080.037109375	21653.16015625	17401.40625	19632.208984375	16891.525390625	18095.8125	16013.5029296875	19336.970703125	17635.90234375	16353.4248046875	16670.384765625	16575.130859375	18248.140625	13983.783203125	21964.966796875	15694.0126953125	18257.8466796875
150	180	20214.98046875	12646.208984375	13585.5849609375	16931.849609375	18044.974609375	14553.67578125	18328.275390625	14132.46875	12592.3935546875	15400.671875	13477.998046875	9277.1484375	15908.623046875	14383.6513671875	10105.87109375	12535.8330078125	13229.7587890625	16850.70703125	17820.9296875	14092.052734375	18201.392578125	14427.5751953125	15141.796875	12386.009765625	16353.48046875	14260.498046875	12430.9638671875	6730.8466796875	5938.98974609375	18414.052734375	14660.3271484375	13102.73046875	4955.263671875	17988.029296875	18063.1328125	18755.669921875	20585.033203125	13706.693359375	16298.77734375	17501.205078125	15979.0234375	18712.720703125	17266.4453125	17160.5234375	19668.666015625	18257.3984375	16965.517578125	15046.38671875	17191.798828125	18339.138671875	18656.615234375	18774.048828125	21056.91796875	17279.849609375	18250.94921875	17707.861328125	19063.201171875	17524.59765625	19355.115234375	17509.853515625	16421.076171875	16605.60546875	17243.833984375	19371.8828125	13912.5703125	21118.20703125	16231.3857421875	17070.05078125	16902.697265625	18385.998046875	20438.01953125	11564.6953125	16212.298828125	17511.69140625	16317.8056640625	18307.091796875	18864.076171875	17270.470703125	18953.17578125	17956.64453125	16176.646484375	14935.0048828125	16443.326171875	16405.53515625	18010.224609375	17580.62109375	21290.265625	17395.875	18817.02734375	17158.49609375	18351.568359375	16855.287109375	19602.22265625	17747.271484375	16259.759765625	16803.466796875	16894.1875	17591.666015625	14900.3349609375	21078.462890625	16443.7578125	18240.427734375
180	240	20936.6171875	12803.359375	13533.998046875	16998.26953125	18332.56640625	14607.8310546875	19962.26171875	14571.5908203125	12285.7099609375	15463.279296875	13654.1865234375	9161.9248046875	17735.1015625	14528.455078125	10180.3837890625	12768.6796875	13364.40234375	17149.564453125	17447.94140625	14941.810546875	18929.009765625	15074.1201171875	15282.5146484375	12759.6298828125	17635.06640625	14970.99609375	12123.4326171875	6483.99658203125	6067.248046875	17413.05859375	14516.95703125	13198.5576171875	5069.09130859375	17757.40625	16790.7578125	18663.330078125	20692.7109375	12802.9189453125	16041.5078125	17765.626953125	16452.232421875	18492.142578125	17995.173828125	17110.736328125	19735.767578125	17468.5625	16859.0625	14537.60546875	16933.72265625	18213.298828125	18422.18359375	19011.552734375	21412.21875	17166.197265625	18776.40625	17756.8984375	18595.412109375	17080.044921875	19568.796875	17673.298828125	16742.490234375	16433.974609375	18155.0078125	17564.107421875	14881.3095703125	21642.69140625	16357.61328125	17735.71484375	15366.16796875	18154.724609375	20779.294921875	12890.9541015625	15837.1318359375	17638.1796875	16051.6630859375	18524.076171875	19381.64453125	16315.8876953125	19704.4296875	17460.640625	16196.7890625	15021.5390625	17073.53125	17012.43359375	18470.419921875	17517.669921875	20754.794921875	17470.228515625	18950.80859375	17022.083984375	18486.013671875	16938.8828125	19259.2265625	17785.78125	16568.423828125	16551.29296875	16919.646484375	17792.943359375	14230.4833984375	21271.783203125	16318.3115234375	18447.958984375
240	300	20515.31640625	13125.43359375	13790.96484375	16714.861328125	18381.21875	14723.10546875	19515.80859375	15184.2470703125	12605.263671875	15429.8935546875	14564.1552734375	9335.9755859375	17291.15234375	15319.8388671875	10339.658203125	13006.625	13652.4296875	16979.28125	17946.0625	14120.267578125	18643.90625	14888.8798828125	15484.9775390625	14131.9921875	16085.5947265625	14874.1337890625	12720.0380859375	6606.91015625	6393.21533203125	16624.14453125	15129.19140625	13067.443359375	5400.06982421875	18316.17578125	16894.3984375	17840.685546875	20298.212890625	12797.6279296875	16161.4560546875	17360.599609375	16335.7998046875	18057.09765625	17723.60546875	16978.0078125	19943.44921875	17447.595703125	16612.931640625	15034.9677734375	17275.1953125	17883.2109375	18980.80078125	18665.3203125	21578.837890625	16841.931640625	18927.150390625	17786.06640625	18794.271484375	16156.1181640625	19079.623046875	17562.68359375	16729.083984375	16587.048828125	17377.08203125	18698.646484375	13981.45703125	20930.056640625	16249.26171875	18150.8046875	15781.4736328125	17384.640625	20402.431640625	13532.95703125	16251.9013671875	17412.9375	15643.8330078125	18485.130859375	19175.953125	16209.880859375	20144.060546875	18061.611328125	16579.259765625	15337.3173828125	16682.4921875	17132.515625	17794.703125	17541.09765625	21310.125	17219.5234375	19345.326171875	16678.603515625	18504.294921875	16057.6669921875	19133.482421875	17373.439453125	16616.95703125	16550.552734375	16930.26953125	18256.0234375	14758.6845703125	20553.25	16250.9013671875	18135.138671875
300	360	19882.04296875	13204.9619140625	13809.580078125	16829.505859375	18396.380859375	13788.3857421875	18469.791015625	15049.525390625	12844.703125	15407.4716796875	13823.095703125	9367.8544921875	16010.666015625	15748.2568359375	10946.1171875	13155.6123046875	13785.056640625	16888.591796875	18466.361328125	13895.4228515625	18286.5078125	15240.962890625	15803.662109375	13640.2978515625	18528.3828125	14910.9599609375	13247.0341796875	6648.12353515625	6533.74267578125	17511.681640625	14829.15234375	12867.0654296875	5523.23046875	17595.70703125	18098.630859375	17794.623046875	20858.3984375	13623.6640625	16119.3076171875	17151.283203125	16528.60546875	17710.90234375	17894.94921875	17815.7578125	20256.2421875	17793.4140625	16842.828125	14628.0087890625	16906.52734375	18004.20703125	19114.982421875	18998.466796875	22151.03125	17163.546875	18652.640625	17753.5078125	18468.525390625	17107.294921875	19124.232421875	17590.81640625	16854.828125	16761.98828125	17421.03125	18818.056640625	14592.861328125	20535.205078125	16454.748046875	18261.525390625	16390.171875	17762.64453125	20555.501953125	13455.689453125	16237.4921875	17176.46875	16072.3212890625	18832.08203125	18929.064453125	16777.16015625	20180.650390625	17665.72265625	16012.5712890625	15006.5810546875	16932.306640625	17260.6015625	18563.08203125	17999.720703125	21966.71875	17680.23828125	18713.169921875	17028.1171875	18188.15625	16012.3251953125	19073.810546875	17609.625	16605.958984375	16685.638671875	16763.67578125	18118.005859375	14674.3125	21120.865234375	16714.546875	18160.30078125
360	480	19523.36328125	13174.974609375	13788.349609375	16601.404296875	18208.486328125	13889.5791015625	18899.34375	15907.23046875	13114.376953125	15727.1845703125	14429.396484375	9534.3466796875	15513.2138671875	15220.1611328125	10362.126953125	13191.2666015625	13932.30859375	16580.48046875	18045.998046875	13144.6298828125	18161.189453125	15362.267578125	15680.697265625	13313.3251953125	17110.71875	14989.23046875	12809.3193359375	6852.9248046875	6780.7646484375	16469.7734375	15164.6474609375	12563.619140625	5706.1787109375	17237.6640625	17473.1484375	17149.123046875	20315.95703125	13283.1015625	16049.6748046875	16525.26953125	16048.2529296875	17270.591796875	17418.5859375	16744.849609375	19263.966796875	17193.998046875	16141.9208984375	14564.3525390625	16695.380859375	17576.78515625	18259.765625	18018.349609375	21723.650390625	16325.35546875	17740.833984375	16950.0859375	17932.087890625	16585.28125	18120.798828125	16512.33984375	16009.0341796875	16187.1640625	16861.140625	17166.74609375	14668.1171875	19826.033203125	16547.466796875	17773.583984375	16978.427734375	16664.25390625	19767.36328125	12998.818359375	15802.056640625	16538.484375	15070.4091796875	17340.068359375	18313.61328125	16010.4697265625	19470.625	17465.115234375	15372.44921875	14833.140625	16238.4443359375	16524.998046875	17495.87890625	16914.904296875	21232.099609375	16469.6875	18039.7578125	16100.7021484375	17457.69921875	15976.9775390625	17954.0625	16814.361328125	15924.013671875	16064.609375	16123.4677734375	16705.08203125	14315.9697265625	19374.224609375	15843.8720703125	17824.1337890625
